BakeryRank,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,FHRSIDRep,StoreCount,BakeryScore,LocationMatch,AIClass,V2ManualVerdict,AIReason,V2ManualNote,ReviewFlags,ManualClass,ManualReason,ManualSourceURL
21,Ova Bakery,ova bakery,Manufacturers/packers,"Unit 4 Stonebridge Centre, 51 Rangemoor Road, Tottenham, London",N15 4LP,Haringey,1229703,1,0.9959490509533286,YES,UNCLEAR,,"FHRS type is Manufacturers/packers, and no affirmative evidence of a customer-facing retail bakery at the supplied address.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
28,Kool Cakes Bakery,kool cakes bakery,Retailers - other,"9 Central Parade, New Heston Road, Hounslow",TW5 0LQ,Hounslow,490460,1,0.9956040958241082,YES,NON_BAKERY,NOT_BAKERY,"Specialises in egg-free custom-designed cakes, falling under the single-product rule for non-bakery classification.",Cake only boutique,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
41,Betel's Bakery,betel s bakery,Retailers - other,"101 West Green Road, Tottenham, London",N15 5DE,Haringey,1752960,1,0.9929853538347824,YES,NON_BAKERY,,"The address 101 West Green Road is associated with Betel's Bakery, but also with Fountain Hotel, which is a hotel with a Mexican and Japanese restaurant. There is no affirmative evidence that Betel's Bakery operates as a distinct, customer-facing bakery at this location, and the YouTube link for ""Betel Bakery"" is unavailable.",,FN_NON_BAKERY_STRONG_NAME,CORE_BAKERY,,https://share.google/47ZqassUcTJCH7R4Z
116,POP BAKERY,pop bakery,Manufacturers/packers,"Unit 5, 12 Heath Street, London",NW3 6TE,Camden,1918517,1,0.9806690621721524,YES,NON_BAKERY,,"POP BAKERY specializes in cake pops and operates as a ""POP Studio"" for arranged collections, with all orders placed online. It is primarily a manufacturer/packer and does not appear to have a traditional customer-facing retail bakery.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
128,Ishter bakery,ishter bakery,Restaurant/Cafe/Canteen,"141 Greenford Road, Harrow",HA1 3QN,Harrow,1916143,1,0.9789482865976704,YES,NON_BAKERY,,"The address provided for Ishter Bakery (141 Greenford Road) is very close to Ishtar Grill (145 Greenford Road), which is a restaurant specializing in grilled dishes, not a bakery. There is no affirmative evidence that ""Ishter bakery"" at this address is a bakery.",,FN_NON_BAKERY_STRONG_NAME,UNCLEAR,,
130,Dalpash Bakery,dalpash bakery,Restaurant/Cafe/Canteen,"228 Horn Lane, Acton",W3 6TG,Ealing,1339574,1,0.9787830612937992,UNCLEAR,UNCLEAR,,Insufficient information to identify the specific establishment and its operating model.,,FN_UNCLEAR_BAKERY,NON_BAKERY,,
182,Tasty Bakery,tasty bakery,Restaurant/Cafe/Canteen,"Unit 10, Bellingham Trading Estate, Franthorne Way, London",SE6 3BX,Lewisham,1636239,1,0.9693050987281112,YES,NON_BAKERY,,"This business is listed as ""Dissolved"" on Companies House as of July 25, 2023, indicating it is permanently closed.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
211,Labet Bakery Ltd,labet bakery ltd,Other catering premises,"Unit 9t Commonwealth Buildings Woolwich Church Street, Woolwich, Greenwich",SE18 5NS,Greenwich,744732,1,0.9625486139962524,UNCLEAR,UNCLEAR,,No reliable evidence found for a customer-facing retail location at the supplied address.,,FN_UNCLEAR_BAKERY,NON_BAKERY,,
237,Komodo Bakery,komodo bakery,Manufacturers/packers,"Mission Kitchen 1st Floor Food Exchange New Covent Garden Market Nine Elms Lane, London, Wandsworth",SW8 5EL,Wandsworth,1793068,1,0.9567602745173268,YES,NON_BAKERY,,"Komodo Bakery operates from Mission Kitchen and specializes in granola, with some production of Melon Pan bread for event customers, but primarily focuses on wholesale and online sales of granola and tea powder, not a customer-facing retail bakery.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
240,Kings Bakery,kings bakery,Retailers - other,The Market Place  Falloden Way London,NW11 6JP,Barnet,757788,1,0.9556947607234748,YES,NON_BAKERY,,"INACTIVE: King's Bakery, a kosher bakery known for its bread and pastries, has permanently closed down.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
241,A&E Bakery,a and e bakery,Other catering premises,"353 Eastern Avenue, Ilford",IG2 6NE,Redbridge,1719344,1,0.9553877254037132,YES,UNCLEAR,,"FHRS type is ""Other catering premises"" and online presence is limited to a food hygiene rating. No further affirmative evidence to classify.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
244,Ire Bakers,ire bakers,Other catering premises,"Flat 6 Specklewood House, 4 Oxeye Way, LONDON",N18 2FJ,Enfield,1936714,1,0.9547028728969364,YES,NON_BAKERY,,"FHRS address is a flat, and the website terms and conditions indicate online ordering and delivery/collection, suggesting it's not a customer-facing retail location.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
246,Honeyrose Bakery Ltd,honeyrose bakery ltd,Manufacturers/packers,"Premier House, Disraeli Road, London",NW10 7AX,Brent,533167,1,0.9543434374731562,YES,NON_BAKERY,,"FHRS type is ""Manufacturers/packers"" and the company website indicates wholesale and supplying other retailers, not a customer-facing retail location.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
248,Sueperlicious Bakery,sueperlicious bakery,Retailers - other,"Mission Kitchen Food Exchange New Covent Garden Market Nine Elms Lane, London, Wandsworth",SW8 5EL,Wandsworth,1627845,1,0.9533076868105762,YES,NON_BAKERY,NOT_BAKERY,"Described as an artisan Malaysian bakery that supplies wholesale accounts, cafes, and farmers markets, with its base at Mission Kitchen. While they have award-winning products, the primary operation described is wholesale/production, not a dedicated customer-facing retail bakery at this specific address.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
302,Sour Dough Bakery,sour dough bakery,Retailers - other,"Units 9 To 10 Merton Industrial Estate 20 Jubilee Way, Wimbledon, Merton",SW19 3WL,Merton,1246250,1,0.938400662084531,UNCLEAR,UNCLEAR,,"While the name suggests a bakery, there is no specific evidence for a customer-facing retail location at the supplied industrial estate address.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
305,Sharons Bakery,sharons bakery,Manufacturers/packers,"Unit 2 Hieratica 12 Argall Avenue, Leyton, London",E10 7QE,Waltham Forest,1867009,1,0.9377573753789216,YES,NON_BAKERY,,"This establishment is registered as ""Manufacturers/packers"" and while it has a website advertising ""fresh, handmade treats,"" the primary evidence points to a production facility rather than a customer-facing retail bakery at the supplied address.",,FN_NON_BAKERY_STRONG_NAME,CORE_BAKERY,,
350,Cyprus Bakery Ltd,cyprus bakery ltd,Manufacturers/packers,"Unit 4, Leeside Trading Estate, Garman Road, Tottenham",N17 0QH,Haringey,1660554,1,0.9205306217675234,YES,NON_BAKERY,NOT_BAKERY,"This establishment is a manufacturer of pitta bread for wholesale to businesses, with no evidence of a customer-facing retail operation.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
