BakeryRank,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,FHRSIDRep,StoreCount,BakeryScore,LocationMatch,AIClass,V2ManualVerdict,AIReason,V2ManualNote,ReviewFlags,ManualClass,ManualReason,ManualSourceURL
8,Q's Bakery Ltd,q s bakery ltd,Retailers - other,"83 Burdett Road, London",E3 4JN,Tower Hamlets,1962099,1,0.9987573993390004,YES,CORE_BAKERY,,"Q's Bakery at Burdett Road is a customer-facing bakery specializing in brownies, blondies, cookies, and celebration cakes.",,FP_CORE_SPECIALISED_PRODUCT,CORE_BAKERY,Agree with AI,https://www.qsbakery.co.uk/
63,Cake House Bakery Harrow,cake house bakery harrow,Retailers - other,"343 Rayners Lane, Harrow",HA5 5EN,Harrow,1604093,1,0.9889271098450868,YES,CORE_BAKERY,NOT_BAKERY,Fixed customer-facing bakery specializing in cakes and offering a variety of cake slices and whole cakes.,Cake only boutique,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
84,Your Treats Bakery Ltd,your treats bakery ltd,Retailers - other,,E13 ,Newham,1042960,1,0.9862932146853884,YES,CORE_BAKERY,NOT_BAKERY,"Your Treats Bakery Ltd at 236A Grange Road, Plaistow, E13 0HG, operates as a cake shop and bakery, specializing in cupcakes, wedding cakes, birthday cakes, and other baked treats, with a customer-facing retail location.",Store is either closed or a homebakery,FP_V2_MANUAL_NOT_BAKERY; FP_CORE_SPECIALISED_PRODUCT,NON_BAKERY,,
148,Bread Of Life Bakehouse,bread of life bakehouse,Manufacturers/packers,,UB6 ,Ealing,1839180,1,0.974893283876472,YES,CORE_BAKERY,NOT_BAKERY,"Bread Of Life Bakehouse operates a retail outlet within its production site at 67 Bridge Street, Pinner, HA5 3JB, offering a range of sourdough breads, viennoiserie, and patisserie for collection.",Insufficient evidence for this business,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
194,Hanatable Bakery,hanatable bakery,Restaurant/Cafe/Canteen,"584 KINGSLAND RD, Hackney, London",E8 4AH,Hackney,1754257,1,0.9667287098025946,YES,BAKERY_CAFE,NOT_BAKERY,"Hanatable Bakery at 584 Kingsland Road is a customer-facing establishment offering a range of Asian-inspired baked goods, including cakes, rolls, and dessert boxes, available for pre-order and pickup, as well as delivery.",Delivery only business,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
202,Sweet Success Bakery,sweet success bakery,Retailers - other,"789 London Road, Hounslow",TW3 1RS,Hounslow,490073,1,0.9658447448880654,YES,CORE_BAKERY,NOT_BAKERY,"Sweet Success Bakery operates from a stable, customer-facing retail location and specializes in cakes and baked goods.",Agree with AI,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
245,Weston Bakery,weston bakery,Retailers - other,"85 Weston Park, Hornsey, London",N8 9PR,Haringey,423520,1,0.9544186801065042,YES,BAKERY_CAFE,NOT_BAKERY,"Identified as a ""neighbourhood bakery cafe"" with evidence of selling croissants and other baked goods.",Mainly a café,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
449,Heriots Patisserie,heriots patisserie,Manufacturers/packers,"20 Headstone Drive, Wealdstone",HA3 5QH,Harrow,951955,5,0.8949054278024425,YES,CORE_BAKERY,NOT_BAKERY,"Heriots Patisserie is a cake shop and patisserie with a physical address, specializing in cakes, gateaux, cheesecakes, and macarons, indicating a bakery-led identity and customer-facing retail.",Inactive,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
463,Bakers Twist,bakers twist,Retailers - other,"10 Midfield Parade, Mayplace Road East, Bexleyheath, Kent",DA7 6NB,Bexley,1712045,1,0.8917368184136024,YES,BAKERY_CAFE,NOT_BAKERY,"Offers a variety of baked goods including bacon and cheese twists, chicken tikka bakes, chocolate cake, rolls, sandwiches, muffins, and sausage rolls, indicating a substantial bakery provision alongside other food service.",Agree with AI,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
486,Lola's Bakery,lola s bakery,Restaurant/Cafe/Canteen,"CONCESSION 14 GROUND FLOOR SELFRIDGES 400 OXFORD STREET, LONDON",W1A 1AB,Westminster,414696,2,0.8852024969299793,YES,BAKERY_CAFE,NOT_BAKERY,"Concession within Selfridges offering a substantial range of cupcakes, cakes, and coffee.",Agree with AI,FP_V2_MANUAL_NOT_BAKERY,NON_BAKERY,,
