BakeryRank,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,FHRSIDRep,StoreCount,BakeryScore,LocationMatch,AIClass,V2ManualVerdict,AIReason,V2ManualNote,ReviewFlags,ManualClass,ManualReason,ManualSourceURL
595,J f ayre ltd,j f ayre ltd,Manufacturers/packers,"131-133, Evelina Road, London",SE15 3HB,Southwark,364679,1,0.8539621909673598,YES,UNCLEAR,BAKERY,"While J.F. Ayre Ltd is listed as a manufacturer/packer, there is no clear evidence of a customer-facing retail location at the specified address.",Agree with AI,UNCLEAR_LOCATION_CONFIRMED,CORE_BAKERY,,
1958,Livs Baked Goodies,livs baked goodies,Other catering premises,"Unit 30 Leyton Business Centre Etloe Road, Leyton, London",E10 7BT,Waltham Forest,1804594,1,0.4695297461540426,YES,UNCLEAR,,"While the business name and website suggest a bakery, the FHRS type ""Other catering premises"" and lack of clear evidence for a stable, customer-facing retail location make the operating model unclear.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,No storefront,https://share.google/1oBTCquAHAsNzsxAa
2408,Lakcakes,lakcakes,Restaurant/Cafe/Canteen,"Unit 6, Market Village, 70 - 73 The Mall, Stratford",E15 1XQ,Newham,1914661,1,0.353107241543062,YES,UNCLEAR,BAKERY,"While ""Lakcakes"" suggests cakes, the available information points to a general ""Restaurant/Cafe/Canteen"" and a ""Surprise bag"" from Too Good To Go, which doesn't provide affirmative evidence of a substantial and persistent bakery offering at this specific location.",There is sufficient evidence to show that it is serving mainly homemade baked goods,UNCLEAR_LOCATION_CONFIRMED,CORE_BAKERY,,
2432,SweetieB,sweetieb,Retailers - other,"59 The Mall, Bexleyheath, Kent",DA6 7JJ,Bexley,1666592,1,0.3470899073033758,YES,UNCLEAR,,"No reliable evidence found for a specific business named SweetieB at 59 The Mall, Bexleyheath. The address appears to be within a shopping centre.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Agree with AI reason,
2732,APHRODITE TREATS LIMITED,aphrodite treats limited,Retailers - other,"Flat 33 Crowndale Court, Crowndale Road, London",NW1 1TY,Camden,1891411,1,0.2757821824061582,YES,UNCLEAR,,"The company is newly incorporated with a registered office address that appears to be a flat, and there is no evidence of a customer-facing retail bakery operation.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,This is a delivery deli,https://aphroditetreats.co.uk/
2969,RSV Wholesale and Retail Ltd,rsv wholesale and retail ltd,Retailers - other,"Ground Floor Front, 305 Ley Street, Ilford",IG1 4BN,Redbridge,1871776,1,0.2356243163845023,YES,UNCLEAR,,"Company is registered as wholesale and retail, but no specific retail operation or bakery provision at the address could be confirmed.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
3555,ZagoUK Ltd,zagouk ltd,Importers/Exporters,"27 Old Gloucester Street, London",WC1N 3AF,Camden,1784207,1,0.1661311443171575,YES,UNCLEAR,,"The company ""ZagoUK Ltd"" is listed as an importer/exporter. Other companies at the same address are dissolved or diagnostic services, and there is no clear evidence of a bakery operation at this specific location.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
3582,Laffeh Ltd,laffeh ltd,Takeaway/sandwich shop,"17 Cullum Street, London",EC3M 7JJ,City of London Corporation,1938754,1,0.163554901944872,YES,UNCLEAR,,Laffeh Ltd is a newly incorporated private limited company with no clear online presence or indication of its specific business activities as a customer-facing food establishment.,,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Middle Eastern Restaurant,https://share.google/b5R3Vp22luVl8bbOb
3699,La'Chi Ltd,la chi ltd,Manufacturers/packers,"1 Pennyfields, London",E14 8HP,Tower Hamlets,1634300,1,0.1538156240797489,YES,UNCLEAR,,"The company is registered at the address as a ""Manufacturers/packers"" but there is no affirmative evidence of a customer-facing retail operation or the nature of its products.",,UNCLEAR_LOCATION_CONFIRMED,BAKERY_CAFE,,https://www.instagram.com/p/CrguEonMbrB/?hl=en
3709,Z and F Enterprise Ltd,z and f enterprise ltd,Retailers - other,"Z AND F ENTERPRISE LIMITED Units 11 To 12, Parkside Business Estate, Rolt Street, London",SE8 5JB,Lewisham,1662778,1,0.1530437116018064,YES,UNCLEAR,,"The business is registered at a business estate, but there is no affirmative evidence of a customer-facing retail operation or the nature of its food business.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/DicrEaG7dVJ80aOLj
3833,Achhie Limited,achhie limited,Retailers - other,"39 The Broadway, Greenford",UB6 9PN,Ealing,1657766,1,0.1459355565523135,YES,UNCLEAR,,"Registered company at the address, but no evidence of a customer-facing food establishment or bakery activity.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
4052,Casereccio Ltd,casereccio ltd,Restaurant/Cafe/Canteen,"10 The Broadway, Gunnersbury Lane, Acton",W3 8HR,Hounslow,689478,1,0.1341526007849366,YES,UNCLEAR,,Insufficient evidence to determine if this restaurant/cafe/canteen has a substantial bakery offering.,,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Permanently closed,
4355,Juhan Suwet Ltd,juhan suwet ltd,Retailers - other,"107 Globe Road, London",E1 4LB,Tower Hamlets,1711690,1,0.1213181996063757,YES,UNCLEAR,,"Juhan Suwet Ltd at 107 Globe Road, London, E1 4LB is listed as a retailer, but there is no affirmative evidence to determine its specific operating model or if it's a bakery. The registered office address has also changed to 111 Globe Road.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
4441,Braske Ltd,braske ltd,Retailers - supermarkets/hypermarkets,"228A High Street North, Manor Park, London",E12 6SB,Newham,1776429,1,0.1180714480066523,YES,UNCLEAR,,"Braske Ltd is registered at the supplied address, but there is no public information available about the nature of its business or any retail operations at this specific location to determine a bakery classification.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/lTBnAT0lAMktMDWnB
4568,Fresh London Limited,fresh london limited,Retailers - other,"133 Broad Street, Dagenham",RM10 9HP,Barking and Dagenham,415728,1,0.1133936536878486,YES,UNCLEAR,,"Fresh London Limited's registered office address changed from Dagenham to London W2 2th in July 2022, making the original address potentially inactive for this business.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Cosmetics shop,
4697,Ladoo Barfi,ladoo barfi,Retailers - other,"The Market House, High Street, Uxbridge",UB8 1JN,Hillingdon,1897283,1,0.108498817923924,YES,UNCLEAR,,"""Ladoo Barfi"" is a name associated with Indian sweets, but there is no affirmative evidence to classify this specific establishment as a bakery. The FHRS type ""Retailers - other"" is not sufficient.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Indian sweets,https://share.google/Q4DlgFMDfG8p4rawc
4773,JK Twins,jk twins,Other catering premises,"PITCH 130 RIDLEY ROAD MARKET RIDLEY ROAD, Hackney, London",E8 2NP,Hackney,1029524,1,0.1059288435205991,YES,UNCLEAR,,"""JK Twins"" is located at Ridley Road Market, which is a stable market location. However, there is no information available about the specific type of food or products offered by ""JK Twins"" to classify it as a bakery.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
4786,Amen Bites Ltd,amen bites ltd,Retailers - other,"AmenBites Ltd, 53 Danescombe, London",SE12 9EU,Lewisham,1677088,1,0.1054450751329053,YES,UNCLEAR,NOT_BAKERY,"""Amen Bites Ltd"" is listed as ""Retailers - other"" and located at 53 Danescombe, London, SE12 9EU. However, there is no further information available to determine if it operates as a bakery or sells substantial bakery goods.",Mainly selling ethiopian food,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,
5285,Rugelis Limited,rugelis limited,Retailers - other,"4 Tudor Parade Well Hall Road, Eltham, Greenwich",SE9 6SX,Greenwich,695674,1,0.0905666597917239,YES,UNCLEAR,,"While ""Rugelio Limited"" is a retailer, there is no affirmative evidence to suggest it is a bakery or has a substantial bakery provision at the supplied location.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
5531,Emma and Dough,emma and dough,Other catering premises,"33 Nash Road, London",SE4 2QH,Lewisham,1600139,1,0.0852698283050061,YES,UNCLEAR,,"""Emma and Dough"" is a bakery-sounding name, but there is no affirmative evidence to confirm it operates as a bakery or cafe at the specified address. The FHRS type ""Other catering premises"" is not specific enough.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Home-based,
5634,TASTY MISFITS LTD,tasty misfits ltd,Retailers - other,"Unit 47 Brockley Cross Business Centre, 96 Endwell Road, London",SE4 2PD,Lewisham,1599531,1,0.0832717359946193,YES,UNCLEAR,,"""TASTY MISFITS LTD"" at Unit 47 Brockley Cross Business Centre, 96 Endwell Road, London, SE4 2PD is listed as ""Retailers - other"" and there is no affirmative evidence to classify it as a bakery.",,UNCLEAR_LOCATION_CONFIRMED,UNCLEAR,Insufficient evidence,
5742,K&a centre ltd,k and a centre ltd,Retailers - other,"90-92, Rye Lane, London",SE15 4RZ,Southwark,365018,1,0.0810825880520108,YES,UNCLEAR,,"FHRS type is ""Retailers - other"" and company filing history shows a registered office address change, but there is no affirmative evidence of substantial bakery provision at the supplied location.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/pI4x5HHFrtS3rvKyr
6076,Haibe Halwa & Sweets Centre,haibe halwa and sweets centre,Retailers - other,"37 Coldharbour Lane, Hayes",UB3 3EB,Hillingdon,1904425,1,0.0749255925182587,YES,UNCLEAR,NOT_BAKERY,"Haibe Halwa & Sweets Centre is listed as a ""Retailers - other"" and a ""Halwa & Sweets Centre"". While sweets may involve some baked goods, there is no affirmative evidence to confirm a bakery-led identity or substantial bakery provision at this specific location.",Insufficient physical evidence for this business,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,
6115,Aspens Service Ltd @,aspens service ltd,Other catering premises,"Lift Trinity, Bounds Green Road, Wood Green, London",N22 8ES,Haringey,1672687,1,0.0741482293644056,YES,UNCLEAR,,"""Other catering premises"" with no specific public-facing retail information available.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/Kc2LI7B6Zvmgs5xxh
6163,Treatz Inc.,treatz inc,Retailers - other,"Unit 6G, Beaver Industrial Park, Brent Road, Southall",UB2 5FB,Ealing,1837124,1,0.073589724939031,YES,UNCLEAR,,"Treatz Inc. at Beaver Industrial Park is listed as ""Retailers - other"" with no further information about its specific operation or products.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,Order online,
6885,Simer 99P City Ltd,simer 99p city ltd,Retailers - other,"38-40 King Street, Southall, Middlesex",UB2 4DB,Ealing,1497856,1,0.0634750089541111,YES,UNCLEAR,,"Company is registered at a retail address, but no specific business activity or substantial bakery provision is evident.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/aN0koLXtYgcUYWDpC
6942,VNS Poplar Ltd,vns poplar ltd,Retailers - other,"VNS Poplar Ltd, 32 Ellesmere Street, London",E14 6BA,Tower Hamlets,40536,1,0.0627878416740791,YES,UNCLEAR,,"VNS Poplar Ltd is registered at the address and has a license for alcohol sales, but there is no information about the type of retail business it operates or if it has a bakery provision.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/jYRCYr54fIxfPwUEo
7331,Unique Spot,unique spot,Retailers - other,"2a Central Avenue, Hounslow",TW3 2QH,Hounslow,1610194,1,0.058783984846251,YES,UNCLEAR,,"""Unique Spot"" at this address appears to be a business, but its nature (e.g., retail, online, or specific product focus) is not clear from available information.",,UNCLEAR_LOCATION_CONFIRMED,NON_BAKERY,,https://share.google/Huta7mNG5Qk3xk5Cs
