FHRSID,BusinessNameClean,BusinessName,FHRSIDRep,RepresentativeClass,BusinessType,PostCode,LocalAuthorityName,Address,BakeryRank,BakeryScore,StoreCount,LocationMatch,AIClass,AIReason,BatchID,Model,VerificationDateTime
1472346,cake house bakery,Cake House Bakery,1429914,NON_BAKERY,Retailers - other,UB1 2HD,Ealing,"275 Allenby Road, Southall",11,0.998208166604462,5,YES,CORE_BAKERY,"Cake House Bakery at 275 Allenby Road, Southall, is a retail bakery specializing in eggless cakes and other baked goods, operating from a stable customer-facing location.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1662245,cake house bakery,Cake House Bakery,1429914,NON_BAKERY,Retailers - other,TW3 1JH,Hounslow,"42a Lampton Road, Hounslow",11,0.998208166604462,5,YES,CORE_BAKERY,"Cake House Bakery at 42a Lampton Road, Hounslow, is a retail bakery specializing in eggless cakes and other baked goods, operating from a stable customer-facing location.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1669723,cake house bakery,Cake House Bakery,1429914,NON_BAKERY,Retailers - other,UB7 7DP,Hillingdon,"26 High Street, Yiewsley",11,0.998208166604462,5,YES,CORE_BAKERY,"Cake House Bakery at 26 High Street, Yiewsley, is a retail bakery specializing in eggless cakes and other baked goods, operating from a stable customer-facing location.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1890769,cake house bakery,Cake House Bakery,1429914,NON_BAKERY,Retailers - other,HA7 1JJ,Harrow,"429 Honeypot Lane, Stanmore",11,0.998208166604462,5,YES,CORE_BAKERY,"Cake House Bakery at 429 Honeypot Lane, Stanmore, is a retail bakery specializing in eggless cakes and other baked goods, operating from a stable customer-facing location.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
376331,the bakery,The Bakery,329204,CORE_BAKERY,Retailers - other,DA7 4RD,Bexley,"7 Pickford Lane, Bexleyheath, Kent",22,0.9959261609676144,2,YES,BAKERY_CAFE,"The Bakery at 7 Pickford Lane, Bexleyheath, operates as a cafe and offers a substantial range of baked goods including pastries, sandwiches, and cakes.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1927631,nal s bakery ltd,Nal's Bakery Ltd,1867439,UNCLEAR,Retailers - other,SW8 5EL,Wandsworth,"Mission Kitchen 1st Floor Food Exchange New Covent Garden Market Nine Elms Lane, London, Wandsworth",26,0.9957969582544266,2,YES,NON_BAKERY,"Nal's Bakery Ltd at Mission Kitchen, New Covent Garden Market, has a registered office address that changed to a private address, and its business activities include event catering and manufacturing, but there is no affirmative evidence of a customer-facing retail location at the supplied address.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1900499,mez s bakery,Mez's Bakery,1813653,NON_BAKERY,Other catering premises,N13 ,Enfield,,35,0.9944334590805092,2,UNCLEAR,UNCLEAR,"The exact address for Mez's Bakery in N13 Enfield is not provided, and while it offers cookies, cheesecake, and milk cake, it primarily operates through direct messages for orders, making its customer-facing retail operation unclear.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1332670,sweet bakes,Sweet Bakes,1204315,UNCLEAR,Other catering premises,N17 ,Haringey,,47,0.9923685282066708,2,YES,NON_BAKERY,"Sweet Bakes in N17 Haringey is registered at a private address and is classified as ""Other catering premises,"" indicating it is home-based only and not a stable customer-facing retail location.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1246658,paul s bakery,Paul's Bakery,1032323,NON_BAKERY,Retailers - other,IG1 2RJ,Redbridge,"99 Ilford Lane, Ilford",50,0.9918937213617356,2,YES,CORE_BAKERY,"Paul's Bakery at 99 Ilford Lane, Ilford, is a bakery specializing in cakes and other baked goods, operating from a stable customer-facing retail location.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1924108,arome bakery,Arome Bakery,1296970,CORE_BAKERY,Manufacturers/packers,W1D 5EA,Westminster,"90-92 SHAFTESBURY AVENUE, LONDON",72,0.9876725856513674,2,YES,CORE_BAKERY,"Arome Bakery at 90-92 Shaftesbury Avenue, London, is a French-Asian bakery with a customer-facing retail location, offering a range of freshly baked goods, pastries, and bread.",20260901_164604_1,gemini-2.5-flash,2026-09-01T16:46:10
1291699,dunns bakery,Dunns Bakery,422932,CORE_BAKERY,Retailers - other,N10 3RT,Haringey,"36 Muswell Hill Broadway, Hornsey, London",76,0.987204160320802,2,YES,CORE_BAKERY,"Dunns Bakery at 36 Muswell Hill Broadway is a stable, customer-facing retail location with a principal identity as a bakery, producing a wide range of breads, sourdough, cakes, pastries, and savoury items.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
444305,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,IG1 4PU,Redbridge,"135 Cranbrook Road, Ilford",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 135 Cranbrook Road, Ilford, is a retail location specializing in egg-free celebration cakes, cupcakes, and slices, which falls under the single-product rule for snack/dessert concepts.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
490669,cake box,Cake Box,443663,NON_BAKERY,Restaurant/Cafe/Canteen,TW4 7DJ,Hounslow,"6 Cavendish Parade, Bath Road, Hounslow",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 6 Cavendish Parade, Bath Road, Hounslow, is a dessert shop focusing on fresh cream cakes, cheesecakes, cupcakes, and brownies, fitting the single-product rule.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
519261,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,UB10 0LH,Hillingdon,"7 New Broadway, Uxbridge Road, Uxbridge",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 7 New Broadway, Uxbridge Road, Uxbridge, is an egg-free cake shop for celebration cakes, last-minute treats, and quick pickups, aligning with the single-product rule.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
816533,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,HA3 9DA,Harrow,"215 Streatfield Road, Harrow",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 215 Streatfield Road, Harrow, is an egg-free cake shop for celebration cakes, cupcakes, and slices, falling under the single-product rule.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
988186,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,IG11 8AA,Barking and Dagenham,"5 London Road, Barking",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 5 London Road, Barking, is a specialty cake shop known for handmade egg-free cakes, cupcakes, and desserts, which is a single-product concept.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
1027108,cake box,Cake Box,443663,NON_BAKERY,Other catering premises,N12 8LT,Barnet,333 Ballards Lane London,105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 333 Ballards Lane, London, is an egg-free cake shop offering celebration cakes, cupcakes, and slices, consistent with the single-product rule.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
1061596,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,HA3 7AL,Harrow,"134 High Street, Wealdstone",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 134 High Street, Wealdstone, is a cake shop offering a wide selection of cakes and desserts, which is a single-product concept.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
1109198,cake box,Cake Box,443663,NON_BAKERY,Other catering premises,EN3 5AZ,Enfield,"170 Hertford Road, ENFIELD",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 170 Hertford Road, Enfield, is an egg-free cake shop for handmade cakes, cupcakes, and desserts, fitting the single-product rule.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
1131902,cake box,Cake Box,443663,NON_BAKERY,Takeaway/sandwich shop,N9 0TT,Enfield,"31 South Mall, LONDON",105,0.982392680030103,24,YES,NON_BAKERY,"Cake Box at 31 South Mall, London, is a dessert/treat place specializing in fresh cream eggless cakes, cake slices, and cupcakes, which is a single-product concept.",20260901_164604_2,gemini-2.5-flash,2026-09-01T16:46:20
1211938,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,E10 6AE,Waltham Forest,"810 High Road Leyton, Leyton, London",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1247002,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,N14 5BU,Enfield,"65-67 Chase Side, LONDON",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1332487,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,SM1 1NU,Sutton,"212 High Street, Sutton",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1371737,cake box,CAKE BOX,443663,NON_BAKERY,Other catering premises,E8 4AH,Hackney,"558 KINGSLAND ROAD, Hackney, London",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1411730,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,SE20 7DS,Bromley,"165 High Street, Penge, London",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1418254,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,E4 6SJ,Waltham Forest,"21 Old Church Road, Chingford, London",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1439894,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,N17 8EY,Haringey,"835 High Road, Tottenham, London",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1489810,cake box,Cake Box,443663,NON_BAKERY,Takeaway/sandwich shop,SW9 6AQ,Lambeth,"Ground Floor, 262 Brixton Road, London, LONDON",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1519604,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,HA8 7HE,Barnet,Boot Parade  High Street Edgware,105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1525430,cake box,Cake Box,443663,NON_BAKERY,Takeaway/sandwich shop,SW16 1EX,Lambeth,"9 The High Parade, Streatham High Road, London",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and dessert slices, falling under the single-product rule for snack/dessert concepts.",20260901_164604_3,gemini-2.5-flash,2026-09-01T16:46:29
1623939,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,EN5 5UR,Barnet,83 High Street Barnet,105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1707863,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,CR8 2LP,Croydon,"938 Brighton Road, Purley",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1711997,cake box,Cake Box,443663,NON_BAKERY,Retailers - other,NW11 7PH,Barnet,10 North End Road London,105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
