CleanBusinessName,BakeryLabel,DisplayName,LocationCount,SourceCategories
wenzel s,1,Wenzel's,82,shop=bakery
poundbakery,1,Poundbakery,54,shop=bakery
greenhalgh s,1,Greenhalgh's,37,shop=bakery
paul,1,Paul,36,shop=bakery
warrens bakery,1,Warrens Bakery,31,shop=bakery
millie s cookies,1,Millie's Cookies,30,shop=bakery
waterfields,1,Waterfields,20,shop=bakery
coughlans bakery,1,Coughlans Bakery,17,shop=bakery
galloways,1,Galloways,17,shop=bakery
cavan bakery,1,Cavan Bakery,11,shop=bakery
malcolm barnecutt,1,Malcolm Barnecutt,10,shop=bakery
percy ingle,1,Percy Ingle,9,shop=bakery
bread ahead,1,Bread Ahead,8,shop=bakery
the cottage bakery,1,The Cottage Bakery,8,shop=bakery
bakery,1,Bakery,7,shop=bakery
cakes and bakes,1,Cakes and Bakes,6,shop=bakery
hurst s bakery,1,Hurst's Bakery,6,shop=bakery
martins,1,Martins,6,shop=bakery
routledges,1,Routledges,6,shop=bakery
rowe s cornish bakers,1,Rowe's Cornish Bakers,6,shop=bakery
somerset bakehouse,1,Somerset Bakehouse,6,shop=bakery
thomas the bakers,1,Thomas the Bakers,6,shop=bakery
waterfield s,1,Waterfield's,6,shop=bakery
ashley s bakery,1,Ashley's Bakery,5,shop=bakery
farmhouse bakery,1,Farmhouse Bakery,5,shop=bakery
fullers bakery,1,Fullers Bakery,5,shop=bakery
hambleton bakery,1,Hambleton Bakery,5,shop=bakery
martins bakery,1,Martins Bakery,5,shop=bakery
nash s bakery,1,Nash's Bakery,5,shop=bakery
the jolly baker,1,The Jolly Baker,5,shop=bakery
bushells,1,Bushells,4,shop=bakery
colston bakeries,1,Colston Bakeries,4,shop=bakery
days bakery,1,Days Bakery,4,shop=bakery
fabrique,1,Fabrique,4,shop=bakery
gerrards,1,Gerrards,4,shop=bakery
grace s bakery,1,Grace's Bakery,4,shop=bakery
grouts the bakers,1,Grouts The Bakers,4,shop=bakery
high street bakery,1,High Street Bakery,4,shop=bakery
home bakery,1,Home Bakery,4,shop=bakery
nafees,1,Nafees,4,shop=bakery
nafees bakers and sweets,1,Nafees Bakers and Sweets,4,shop=bakery
reeve the baker,1,Reeve the Baker,4,shop=bakery
roses the bakers,1,Roses the Bakers,4,shop=bakery
rowe s,1,Rowe's,4,shop=bakery
the cakery,1,The Cakery,4,shop=bakery
the little bakery,1,The Little Bakery,4,shop=bakery
village bakery,1,Village Bakery,4,shop=bakery
warings,1,Warings,4,shop=bakery
allison s bakery,1,Allison's Bakery,3,shop=bakery
artisan bakery,1,Artisan Bakery,3,shop=bakery
baxters bakery,1,Baxters Bakery,3,shop=bakery
bismillah bakery,1,Bismillah Bakery,3,shop=bakery
brook bakery,1,Brook Bakery,3,shop=bakery
burns the bread,1,Burns the Bread,3,shop=bakery
cake house bakery,1,Cake House Bakery,3,shop=bakery
cottage bakery,1,Cottage Bakery,3,shop=bakery
coughlans,1,Coughlans,3,shop=bakery
gail s bakery,1,GAIL's Bakery,3,shop=bakery
glentons bakery,1,Glentons Bakery,3,shop=bakery
gregs,1,Gregs,3,shop=bakery
henstocks,1,Henstocks,3,shop=bakery
hinitts bakery,1,Hinitts Bakery,3,shop=bakery
hobbs house bakery,1,Hobbs House Bakery,3,shop=bakery
home made bakery,1,Home Made Bakery,3,shop=bakery
hoxton bakehouse,1,Hoxton Bakehouse,3,shop=bakery
j ayre,1,J. Ayre,3,shop=bakery
judges bakery,1,Judges Bakery,3,shop=bakery
karpaty bakery,1,Karpaty Bakery,3,shop=bakery
kistruck s,1,Kistruck's,3,shop=bakery
masovia craft bakery,1,Masovia Craft Bakery,3,shop=bakery
melvyn davis,1,Melvyn Davis,3,shop=bakery
mr t g pullin s bakery,1,Mr T.G Pullin's Bakery,3,shop=bakery
paul s bakery,1,Paul's Bakery,3,shop=bakery
roman bank bakery,1,Roman Bank Bakery,3,shop=bakery
salt bakehouse,1,Salt Bakehouse,3,shop=bakery
stacey s,1,Stacey's,3,shop=bakery
the bakers,1,The Bakers,3,shop=bakery
the cavan bakery,1,The Cavan Bakery,3,shop=bakery
the christmas bakery,1,The Christmas Bakery,3,shop=bakery
the craft bakery,1,The Craft Bakery,3,shop=bakery
the home bakery,1,The Home Bakery,3,shop=bakery
the hummingbird bakery,1,The Hummingbird Bakery,3,shop=bakery
the oven door bakery,1,The Oven Door Bakery,3,shop=bakery
warings bakery,1,Warings Bakery,3,shop=bakery
windmill bakery,1,Windmill Bakery,3,shop=bakery
wrights pies,1,Wrights pies,3,shop=bakery
angels bakery,1,Angels Bakery,2,shop=bakery
appleby bakery,1,Appleby Bakery,2,shop=bakery
aux merveilleux de fred,1,Aux Merveilleux de Fred,2,shop=bakery
bake my day,1,Bake my Day,2,shop=bakery
baker tom s bread,1,Baker Tom's Bread,2,shop=bakery
bakery royal,1,Bakery Royal,2,shop=bakery
belinda s,1,Belinda’s,2,shop=bakery
berryman s,1,Berryman's,2,shop=bakery
boulangerie bon matin,1,Boulangerie Bon Matin,2,shop=bakery
bread bin,1,Bread Bin,2,shop=bakery
bridge baker,1,Bridge Baker,2,shop=bakery
bumble bakehouse,1,Bumble Bakehouse,2,shop=bakery
bunhead bakery,1,Bunhead Bakery,2,shop=bakery
bushells bakery,1,Bushells Bakery,2,shop=bakery
c h latham,1,C. H. Latham,2,shop=bakery
casey s,1,Casey's,2,shop=bakery
catherine s bakery,1,Catherine's Bakery,2,shop=bakery
chatsworth bakehouse,1,Chatsworth Bakehouse,2,shop=bakery
chatwins bakery,1,Chatwins bakery,2,shop=bakery
christmas bakery,1,Christmas Bakery,2,shop=bakery
colston bakery,1,Colston Bakery,2,shop=bakery
cookies and scream,1,Cookies & Scream,2,shop=bakery
corner cottage bakery,1,Corner Cottage Bakery,2,shop=bakery
cornish pasty shop,1,Cornish Pasty Shop,2,shop=bakery
cottage loaf,1,Cottage Loaf,2,shop=bakery
couzens,1,Couzens,2,shop=bakery
craven bakery,1,Craven Bakery,2,shop=bakery
crusties,1,Crusties,2,shop=bakery
da bara bakery,1,Da Bara Bakery,2,shop=bakery
days of ashwell,1,Days of Ashwell,2,shop=bakery
di s pies,1,Di's Pies,2,shop=bakery
dunns,1,Dunns,2,shop=bakery
eggfree cake box,1,Eggfree Cake Box,2,shop=bakery
eggless cake shop,1,Eggless Cake Shop,2,shop=bakery
ellas bakery,1,Ellas Bakery,2,shop=bakery
ellis bakery,1,Ellis Bakery,2,shop=bakery
eunice artisan bakery,1,Eunice Artisan Bakery,2,shop=bakery
farm bakery,1,Farm Bakery,2,shop=bakery
fletcher s bakery,1,Fletcher's Bakery,2,shop=bakery
flint owl bakery,1,Flint Owl Bakery,2,shop=bakery
flour pot bakery,1,Flour Pot Bakery,2,shop=bakery
fred s home bakery,1,Fred's Home Bakery,2,shop=bakery
fresh from the oven,1,Fresh From The Oven,2,shop=bakery
gilchrist bakers,1,Gilchrist Bakers,2,shop=bakery
good taste bakery,1,Good Taste Bakery,2,shop=bakery
grodz,1,Grodz,2,shop=bakery
gunns bakery,1,Gunns Bakery,2,shop=bakery
