FHRSID,BusinessName,BusinessType,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,BusinessNameClean
56458,Holibrook House Childrens Home,Caring Premises,IG11 8RB,Barking and Dagenham,0.081816,51.543048,holibrook house childrens home
66309,BP Service Station,Retailers - other,RM10 7UU,Barking and Dagenham,0.161954,51.550546,bp service station
91426,Playdays Nursery and PreSchool,Caring Premises,RM8 1DD,Barking and Dagenham,0.134142,51.561604,playdays nursery and preschool
91591,Co-op Welcome,Retailers - supermarkets/hypermarkets,RM9 4TP,Barking and Dagenham,0.127901,51.539792,co op welcome
95942,K.F.C.,Takeaway/sandwich shop,IG11 8EB,Barking and Dagenham,0.080525,51.539087,k f c
102493,Thames View Infants School,School/college/university,IG11 0LG,Barking and Dagenham,0.103863,51.527951,thames view infants school
102647,Eastbury Day Nursery,Caring Premises,IG11 9SQ,Barking and Dagenham,0.095215,51.533961,eastbury day nursery
102698,Roding Primary School,School/college/university,RM8 2XS,Barking and Dagenham,0.126893,51.549398,roding primary school
102930,Monteagle Junior School,School/college/university,RM9 4RB,Barking and Dagenham,0.114423,51.534929,monteagle junior school
103499,Eastbury Primary School,School/college/university,IG11 9QQ,Barking and Dagenham,0.101093,51.536346,eastbury primary school
103768,Iceland,Retailers - supermarkets/hypermarkets,IG11 8EP,Barking and Dagenham,0.078339,51.53668,iceland
103952,Greggs,Takeaway/sandwich shop,IG11 8EJ,Barking and Dagenham,0.078877,51.537722,greggs
105018,Angies Cafe and Kebab Ltd,Takeaway/sandwich shop,RM9 4TP,Barking and Dagenham,0.127901,51.539793,angies cafe and kebab ltd
105618,St Josephs Roman Catholic Primary School,School/college/university,IG11 7AR,Barking and Dagenham,0.076999,51.534491,st josephs roman catholic primary school
105764,Royal Fish Bar,Takeaway/sandwich shop,RM9 6BU,Barking and Dagenham,0.129311,51.539093,royal fish bar
107330,Pizza Go Go,Takeaway/sandwich shop,RM10 9RR,Barking and Dagenham,0.156728,51.540076,pizza go go
107546,Lezet Kebab House,Takeaway/sandwich shop,RM8 1YX,Barking and Dagenham,0.119985,51.562769,lezet kebab house
