BusinessNameClean,DisplayName,StoreCount,BakeryScore,BakeryRank
bakery and cake,Bakery And Cake,1,0.9995793638407903,1
g o d cakes bakery,G.O.D Cakes / Bakery,1,0.9995775265249783,2
bakers cakes,Bakers Cakes,1,0.9995649099865953,3
sweetsop bakery,Sweetsop Bakery,1,0.9995379153421905,4
eggfree cake box djtc cakes ltd,Eggfree Cake Box (DJTC Cakes Ltd),1,0.9991660474032796,5
b bakery,B.Bakery,1,0.9990231492095771,6
q s bakery,Q's Bakery,1,0.9989639077854257,7
q s bakery ltd,Q's Bakery Ltd,1,0.9987573993390003,8
b j bakery,B.J Bakery,1,0.9985724659167091,9
sweetsmile bakery,SweetSmile Bakery,1,0.9983479943460567,10
cake house bakery,Cake House Bakery,5,0.9982081666044619,11
sweet bakery,Sweet Bakery,1,0.9980747444155482,12
a fe bakery,A?fe Bakery,1,0.9979252384956493,13
olgas sweets bakery,Olgas Sweets Bakery,1,0.9976962616674703,14
sugar s bakery,Sugar's Bakery,1,0.9969370354352306,15
bakery 4 limited,Bakery 4 Limited,1,0.9968219084254384,16
sourdough delights bakery,Sourdough Delights Bakery,1,0.9967229030211414,17
chocolatine bakery,Chocolatine Bakery,1,0.9963603629477467,18
sweetwater bakery,Sweetwater Bakery,1,0.9963243678109186,19
candy cakes,Candy Cakes,1,0.9961477237343074,20
ova bakery,Ova Bakery,1,0.9959490509533286,21
the bakery,The Bakery,2,0.9959261609676144,22
nou bakery,Nou Bakery,1,0.99591868712626,23
cake box ltd,Cake Box LTD,1,0.9958249225153458,24
sweet tree bakery,Sweet Tree Bakery,1,0.9957987895524513,25
nal s bakery ltd,Nal's Bakery Ltd,2,0.9957969582544266,26
sweet treat cakes and bakes,Sweet Treat - Cakes & Bakes,1,0.9957324844818285,27
kool cakes bakery,Kool Cakes Bakery,1,0.9956040958241082,28
east cake and bakery ltd,East Cake & Bakery Ltd,1,0.9955517615347276,29
bakers dozen bakery,Bakers Dozen Bakery,1,0.9952098984203483,30
mi cakes ltd,MI CAKES LTD,1,0.9951348646407873,31
1k1v ltd,1K1V Ltd,1,0.9950452447168086,32
cake baking,Cake baking,1,0.9949300527258543,33
ua t bakery,UA T Bakery,1,0.9946251616827757,34
mez s bakery,MEZ'S BAKERY,2,0.9944334590805093,35
miks bakery,Miks Bakery,1,0.9940340697180525,36
mrs bakery,Mrs Bakery,1,0.9937712106503543,37
duki s bakery,Duki's Bakery,1,0.9936569586919465,38
cakeys cakes ltd,Cakeys Cakes LTD,1,0.9934133908501735,39
lakery cakes ltd,Lakery Cakes LTD,1,0.9931643426788902,40
betel s bakery,Betel's Bakery,1,0.9929853538347825,41
cherie s bakery,Cherie's Bakery,1,0.9928302334236838,42
doff bakery,Doff Bakery,1,0.9928265435515822,43
star baker bakery,Star Baker Bakery,1,0.99273158524108,44
cake box hackney ltd t a eggfree cake box,CAKE BOX HACKNEY LTD T/A EGGFREE CAKE BOX,1,0.9925827463819504,45
miel bakery,MIEL BAKERY,1,0.9925230428263333,46
sweet bakes,Sweet Bakes,2,0.9923685282066708,47
bread ahead bakery,Bread Ahead Bakery,1,0.99232855007897,48
eggfree cake box ltd,Eggfree cake box ltd,1,0.9922119138744574,49
paul s bakery,Paul's Bakery,2,0.9918937213617357,50
kols bakery,Kols Bakery,1,0.9912234370469168,51
hapa bakery r o,HAPA Bakery R/O,1,0.9908569021105524,52
sweet dream bakery,SWEET DREAM BAKERY,1,0.9906128451736923,53
the bread of life bakery,The Bread Of Life Bakery,1,0.990482820853468,54
novi bakery,Novi Bakery,1,0.9901128566896642,55
worths bakery,Worths Bakery,1,0.9900872044202155,56
elas bakery,ELAs Bakery,1,0.9900104050093095,57
la mira sweet treat bakery,La Mira Sweet Treat Bakery,1,0.9899669557948262,58
felt bakery,FELT Bakery,1,0.989766700818257,59
butterdough bakery,Butterdough Bakery,1,0.9894367419509977,60
belle s bakery,Belle's Bakery,1,0.9894152766010977,61
cakes,Cakes,1,0.9889276981856899,62
cake house bakery harrow,Cake House Bakery Harrow,1,0.9889271098450867,63
eggless cakebox cakenation ltd,Eggless Cakebox (Cakenation Ltd),1,0.9888053886323142,64
weirdough bakery,Weirdough Bakery,1,0.9883996759035152,65
