AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,Chain,BusinessNameText,Address,ScreenStatus,ScreenReason
,402 Wood Lane,,Dagenham,Wm Morrisons Supermarkets Limited,Retailers - supermarkets/hypermarkets,7840,0,,129199,5970,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 7RA,2026-03-14T00:00:00,fhrs_5_en-gb,5,,FHRS,0.148436,51.559382,5.0,5.0,5.0,Morrisons,wm morrisons supermarkets limited,"402 Wood Lane, RM10 7RA",AUTO_INCLUDE,Full-format Morrisons supermarket
Unit A,258-262 Heathway,,Dagenham,Lidl UK GmbH,Retailers - supermarkets/hypermarkets,7840,0,,129311,59948,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 8QS,2025-12-06T00:00:00,fhrs_5_en-gb,5,,FHRS,0.148129,51.541852,5.0,5.0,5.0,Lidl,lidl uk gmbh,"Unit A, 258-262 Heathway, RM10 8QS",AUTO_INCLUDE,Lidl supermarket with established bakery provision
,62-82 Ripple Road,,Barking,Lidl Great Britain Ltd,Retailers - supermarkets/hypermarkets,7840,0,,1177749,74485,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 7PG,2025-03-24T00:00:00,fhrs_5_en-gb,5,,FHRS,0.081059,51.536569,0.0,0.0,0.0,Lidl,lidl great britain ltd,"62-82 Ripple Road, IG11 7PG",AUTO_INCLUDE,Lidl supermarket with established bakery provision
,807-829 Longbridge Road,,Barking,Lidl Great Britain Limited,Retailers - supermarkets/hypermarkets,7840,0,,1197145,74549,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 2DB,2025-02-22T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1133203,51.5519813,5.0,5.0,5.0,Lidl,lidl great britain limited,"807-829 Longbridge Road, RM8 2DB",AUTO_INCLUDE,Lidl supermarket with established bakery provision
,79a Whalebone Lane South,,Dagenham,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1389714,77569,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 1AJ,2025-03-14T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1460244,51.5636903,0.0,0.0,0.0,Lidl,lidl,"79a Whalebone Lane South, RM8 1AJ",AUTO_INCLUDE,Lidl supermarket with established bakery provision
,258-262 Heathway,,Dagenham,Lidl Store,Retailers - supermarkets/hypermarkets,7840,0,,1783203,82431,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 8QS,2025-01-18T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1485694,51.5420607,5.0,5.0,5.0,Lidl,lidl store,"258-262 Heathway, RM10 8QS",AUTO_INCLUDE,Lidl supermarket with established bakery provision
39 Ballards Lane London,,,,Tesco Superstore,Retailers - supermarkets/hypermarkets,7840,0,,757716,CP/36945,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N3 1XP,2026-02-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.191331,51.603348,0.0,0.0,0.0,Tesco,tesco superstore,"39 Ballards Lane London, N3 1XP",AUTO_INCLUDE,Large Tesco supermarket format
23 Foots Cray High Street,Sidcup,Kent,,Lidl Foots Cray,Retailers - supermarkets/hypermarkets,7840,0,,329532,14520/4000/1/004,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA14 5HJ,2024-03-02T00:00:00,fhrs_5_en-gb,5,,FHRS,0.118671,51.418592,0.0,0.0,0.0,Lidl,lidl foots cray,"23 Foots Cray High Street, Sidcup, Kent, DA14 5HJ",AUTO_INCLUDE,Lidl supermarket with established bakery provision
Embassy Court,Welling,Kent,,Tesco Welling Superstore,Retailers - supermarkets/hypermarkets,7840,0,,451404,10/00160/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 1TH,2026-06-22T00:00:00,fhrs_4_en-gb,4,,FHRS,0.109772,51.462072,5.0,10.0,5.0,Tesco,tesco welling superstore,"Embassy Court, Welling, Kent, DA16 1TH",AUTO_INCLUDE,Large Tesco supermarket format
301 Lower Road,Belvedere,Kent,,Asda Superstore,Retailers - supermarkets/hypermarkets,7840,0,,620280,13/00106/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA17 6DF,2024-11-22T00:00:00,fhrs_5_en-gb,5,,FHRS,0.154425,51.491611,0.0,0.0,0.0,Asda,asda superstore,"301 Lower Road, Belvedere, Kent, DA17 6DF",AUTO_INCLUDE,Large Asda supermarket format
71 - 79 Welling High Street,Welling,Kent,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,665221,18980/0071/3/003,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 1TU,2024-10-24T00:00:00,fhrs_4_en-gb,4,,FHRS,0.110817,51.462242,0.0,10.0,5.0,Morrisons,morrisons,"71 - 79 Welling High Street, Welling, Kent, DA16 1TU",AUTO_INCLUDE,Full-format Morrisons supermarket
James Watt Way,Erith,Kent,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,682887,11525/2001/3/010,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA8 2AH,2025-10-29T00:00:00,fhrs_5_en-gb,5,,FHRS,0.184678,51.480178,0.0,5.0,5.0,Morrisons,morrisons,"James Watt Way, Erith, Kent, DA8 2AH",AUTO_INCLUDE,Full-format Morrisons supermarket
1 Jenner Close,Sidcup,Kent,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,738289,03/00017/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA14 6BF,2026-06-01T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1025779,51.425068,5.0,5.0,0.0,Morrisons,morrisons,"1 Jenner Close, Sidcup, Kent, DA14 6BF",AUTO_INCLUDE,Full-format Morrisons supermarket
Lidl,20 Broadway,Bexleyheath,Kent,Lidl Bexleyheath,Retailers - supermarkets/hypermarkets,7840,0,,984334,17/00201/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA6 7LL,2025-02-28T00:00:00,fhrs_5_en-gb,5,,FHRS,0.149984002113342,51.4560890197754,5.0,5.0,0.0,Lidl,lidl bexleyheath,"Lidl, 20 Broadway, Bexleyheath, DA6 7LL",AUTO_INCLUDE,Lidl supermarket with established bakery provision
46 - 60 Upper Wickham Lane,Welling,Kent,,Lidl Welling,Retailers - supermarkets/hypermarkets,7840,0,,1009721,17/00305/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 3HF,2023-08-09T00:00:00,fhrs_5_en-gb,5,,FHRS,0.107984997332096,51.4635887145996,0.0,5.0,0.0,Lidl,lidl welling,"46 - 60 Upper Wickham Lane, Welling, Kent, DA16 3HF",AUTO_INCLUDE,Lidl supermarket with established bakery provision
Lidl,Blackbird Hill,London,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,532376,1816,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,False,,NW9 8SD,2023-10-03T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.262658,51.564229,0.0,0.0,0.0,Lidl,lidl,"Lidl, Blackbird Hill, London, NW9 8SD",AUTO_INCLUDE,Lidl supermarket with established bakery provision
3 Stadium Retail Park,Wembley Park Drive,Wembley,,Lidl Discount Foodstores,Retailers - supermarkets/hypermarkets,7840,0,,532748,25116,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,False,,HA9 8TS,2025-06-09T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.280747,51.56125,0.0,0.0,0.0,Lidl,lidl discount foodstores,"3 Stadium Retail Park, Wembley Park Drive, Wembley, HA9 8TS",AUTO_INCLUDE,Lidl supermarket with established bakery provision
Morrisons,Honeypot Lane,London,,Morrisons:-Cafe/S'market/butcher/baker/fish,Retailers - supermarkets/hypermarkets,7840,0,,533563,7015,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,False,,NW9 6RN,2024-08-13T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.284613,51.591943,5.0,5.0,0.0,Morrisons,morrisons:-cafe/s'market/butcher/baker/fish,"Morrisons, Honeypot Lane, London, NW9 6RN",AUTO_INCLUDE,Full-format Morrisons supermarket
Tesco,Great Central Way,London,,Tesco Supermarket,Retailers - supermarkets/hypermarkets,7840,0,,533762,8527,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,False,,NW10 0TL,2024-07-02T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.255449,51.553916,5.0,0.0,0.0,Tesco,tesco supermarket,"Tesco, Great Central Way, London, NW10 0TL",AUTO_INCLUDE,Large Tesco supermarket format
399 Edgware Road,Kingsbury,London,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,858154,87309,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,False,,NW9 0FH,2024-08-13T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.2595171,51.5933473,0.0,5.0,0.0,Morrisons,morrisons,"399 Edgware Road, Kingsbury, London, NW9 0FH",AUTO_INCLUDE,Full-format Morrisons supermarket
Lidl Great Britain Ltd,199 Ealing Road,Wembley,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1596909,104166,504,ens.foodsafety@brent.gov.uk,Brent,http://www.brent.gov.uk/,False,,HA0 4GP,2025-12-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.2993293,51.5401737,0.0,5.0,5.0,Lidl,lidl,"Lidl Great Britain Ltd, 199 Ealing Road, Wembley, HA0 4GP",AUTO_INCLUDE,Lidl supermarket with established bakery provision
Morrisons 70 Queensway,Petts Wood,Orpington,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,357866,00000/0001/3/069,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR5 1DH,2025-07-24T00:00:00,fhrs_5_en-gb,5,,FHRS,0.0741653,51.3880572,0.0,0.0,0.0,Morrisons,morrisons,"Morrisons 70 Queensway, Petts Wood, Orpington, BR5 1DH",AUTO_INCLUDE,Full-format Morrisons supermarket
Tesco Stores 9 Augustus Lane,,Orpington,,Tesco Extra,Retailers - supermarkets/hypermarkets,7840,0,,358489,09/00107/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR6 0NH,2026-01-26T00:00:00,fhrs_5_en-gb,5,,FHRS,0.0968366,51.3740115,0.0,0.0,0.0,Tesco,tesco extra,"Tesco Stores 9 Augustus Lane, Orpington, BR6 0NH",AUTO_INCLUDE,Large Tesco supermarket format
Lidl 330 Crofton Road,,Orpington,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,445151,12/00247/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR6 8NW,2024-09-19T00:00:00,fhrs_5_en-gb,5,,FHRS,0.0559944,51.3680718,0.0,5.0,0.0,Lidl,lidl,"Lidl 330 Crofton Road, Orpington, BR6 8NW",AUTO_INCLUDE,Lidl supermarket with established bakery provision
2A Glebe Way,,West Wickham,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,940538,16/00264/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR4 0RJ,2026-01-22T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.013868,51.3754362,0.0,0.0,0.0,Lidl,lidl,"2A Glebe Way, West Wickham, BR4 0RJ",AUTO_INCLUDE,Lidl supermarket with established bakery provision
Ground Floor 124 - 126 High Street,,Bromley,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1094617,18/00444/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR1 1EZ,2024-01-11T00:00:00,fhrs_5_en-gb,5,,FHRS,0.0144884,51.4040885,5.0,5.0,5.0,Lidl,lidl,"Ground Floor 124 - 126 High Street, Bromley, BR1 1EZ",AUTO_INCLUDE,Lidl supermarket with established bakery provision
129 Burnt Ash Lane,,Bromley,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1295612,20/00572/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR1 5AJ,2026-02-19T00:00:00,fhrs_5_en-gb,5,,FHRS,0.0210904,51.4210883,5.0,5.0,5.0,Lidl,lidl,"129 Burnt Ash Lane, Bromley, BR1 5AJ",AUTO_INCLUDE,Lidl supermarket with established bakery provision
Unit 1 168 Sevenoaks Way,,Orpington,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1450625,22/00019/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,BR5 3AE,2025-04-09T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1122605,51.3994173,0.0,0.0,0.0,Lidl,lidl,"Unit 1 168 Sevenoaks Way, Orpington, BR5 3AE",AUTO_INCLUDE,Lidl supermarket with established bakery provision
24 Mottingham Road,Mottingham,London,,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1588922,22/00670/MIXED,505,food@bromley.gov.uk,Bromley,http://www.bromley.gov.uk,False,,SE9 4QW,2026-03-31T00:00:00,fhrs_5_en-gb,5,,FHRS,0.042486,51.437283,0.0,0.0,0.0,Lidl,lidl,"24 Mottingham Road, Mottingham, London, SE9 4QW",AUTO_INCLUDE,Lidl supermarket with established bakery provision
,76-77 Chalk Farm Road,,London,Sainsbury's Supermarket Ltd,Retailers - supermarkets/hypermarkets,7840,0,,424846,36578,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW1 8AN,2022-06-08T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1511649,51.5435445,0.0,5.0,0.0,Sainsbury's,sainsbury's supermarket ltd,"76-77 Chalk Farm Road, NW1 8AN",AUTO_INCLUDE,Large Sainsbury's supermarket format
,126-132 Fortess Road,,London,Sainsburys Supermarket,Retailers - supermarkets/hypermarkets,7840,0,,425022,45089,506,foodsafety@camden.gov.uk,Camden,http://www.camden.gov.uk,False,,NW5 2HP,2025-04-29T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1389535,51.5558154,0.0,0.0,5.0,Sainsbury's,sainsburys supermarket,"126-132 Fortess Road, NW5 2HP",AUTO_INCLUDE,Large Sainsbury's supermarket format
