AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,Chain,BusinessNameText,Address,ScreenStatus,ScreenReason,PostCodeClean,SiteRecords,FinalBakeryProvision,AIReason,ManualDecision,ManualReason,BakeryClass
,Highbridge Road,,Barking,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,107548,38019,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 7BS,2023-08-31T00:00:00,fhrs_5_en-gb,5,,FHRS,0.070767,51.536319,0.0,0.0,5.0,Tesco,tesco,"Highbridge Road, IG11 7BS",NEEDS_CHECK,Tesco store format unclear from FHRS record,IG117BS,1,YES,"This is a Tesco Superstore, which are large format stores that typically include a substantial bakery provision.",,,GROCER_BAKERY
,97-131 High Road,,Chadwell Heath,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,124152,5265,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM6 6PB,2023-05-27T00:00:00,fhrs_5_en-gb,5,,FHRS,0.133554,51.571543,0.0,0.0,0.0,Sainsbury's,sainsbury's,"97-131 High Road, RM6 6PB",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,RM66PB,1,YES,"This is a Sainsbury's Superstore, which are large format stores that typically include a substantial bakery provision, and an image shows a bakery counter.",,,GROCER_BAKERY
Unit 1 Merrielands Retail Park,Merrielands Crescent,,Dagenham,Asda,Retailers - supermarkets/hypermarkets,7840,0,,125172,5369,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM9 6SJ,2024-11-02T00:00:00,fhrs_5_en-gb,5,,FHRS,0.145621,51.5305766,5.0,5.0,5.0,Asda,asda,"Unit 1 Merrielands Retail Park, Merrielands Crescent, RM9 6SJ",NEEDS_CHECK,Asda store format unclear from FHRS record,RM96SJ,1,YES,"This is an Asda Superstore, which are large format stores that typically include a substantial bakery provision.",,,GROCER_BAKERY
,402 Wood Lane,,Dagenham,Wm Morrisons Supermarkets Limited,Retailers - supermarkets/hypermarkets,7840,0,,129199,5970,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 7RA,2026-03-14T00:00:00,fhrs_5_en-gb,5,,FHRS,0.148436,51.559382,5.0,5.0,5.0,Morrisons,wm morrisons supermarkets limited,"402 Wood Lane, RM10 7RA",AUTO_INCLUDE,Full-format Morrisons supermarket,RM107RA,1,YES,"Morrisons supermarkets typically have in-store bakeries, and this is a large format store.",,,GROCER_BAKERY
Unit A,258-262 Heathway,,Dagenham,Lidl UK GmbH,Retailers - supermarkets/hypermarkets,7840,0,,129311,59948,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 8QS,2025-12-06T00:00:00,fhrs_5_en-gb,5,,FHRS,0.148129,51.541852,5.0,5.0,5.0,Lidl,lidl uk gmbh,"Unit A, 258-262 Heathway, RM10 8QS",AUTO_INCLUDE,Lidl supermarket with established bakery provision,RM108QS,2,YES,Lidl stores are known for their in-store bakeries with fresh bread and pastries.,,,GROCER_BAKERY
,Eldonwall Trading Estate,,Whalebone Lane South,Asda,Retailers - supermarkets/hypermarkets,7840,0,,628396,62955,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 1AT,2025-09-20T00:00:00,fhrs_5_en-gb,5,,FHRS,0.144977,51.566505,5.0,5.0,5.0,Asda,asda,"Eldonwall Trading Estate, RM8 1AT",NEEDS_CHECK,Asda store format unclear from FHRS record,RM81AT,1,YES,"This is an Asda Superstore, which typically offers a large fresh food and bakery selection.",,,GROCER_BAKERY
,62-82 Ripple Road,,Barking,Lidl Great Britain Ltd,Retailers - supermarkets/hypermarkets,7840,0,,1177749,74485,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 7PG,2025-03-24T00:00:00,fhrs_5_en-gb,5,,FHRS,0.081059,51.536569,0.0,0.0,0.0,Lidl,lidl great britain ltd,"62-82 Ripple Road, IG11 7PG",AUTO_INCLUDE,Lidl supermarket with established bakery provision,IG117PG,1,YES,Lidl stores are known for their in-store bakeries with fresh bread and pastries.,,,GROCER_BAKERY
,807-829 Longbridge Road,,Barking,Lidl Great Britain Limited,Retailers - supermarkets/hypermarkets,7840,0,,1197145,74549,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 2DB,2025-02-22T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1133203,51.5519813,5.0,5.0,5.0,Lidl,lidl great britain limited,"807-829 Longbridge Road, RM8 2DB",AUTO_INCLUDE,Lidl supermarket with established bakery provision,RM82DB,1,YES,Lidl stores are known for their in-store bakeries with fresh bread and pastries.,,,GROCER_BAKERY
,79a Whalebone Lane South,,Dagenham,Lidl,Retailers - supermarkets/hypermarkets,7840,0,,1389714,77569,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 1AJ,2025-03-14T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1460244,51.5636903,0.0,0.0,0.0,Lidl,lidl,"79a Whalebone Lane South, RM8 1AJ",AUTO_INCLUDE,Lidl supermarket with established bakery provision,RM81AJ,1,YES,"Lidl stores are known for their in-store bakeries with fresh bread and pastries, and a new store at this address was planned to include one.",,,GROCER_BAKERY
273 Ballards Lane London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756595,CP/00822,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 8NR,2025-07-11T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1797538,51.6113272,0.0,0.0,0.0,Waitrose,waitrose,"273 Ballards Lane London, N12 8NR",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,N128NR,1,YES,"Waitrose stores typically have substantial fresh bakery sections, and this is a full-size supermarket.",,,GROCER_BAKERY
