FHRSID,BusinessName,Chain,Address,PostCode,InitialDecision,AIReason,ManualDecision,ManualReason
858154,Morrisons,Morrisons,"399 Edgware Road, Kingsbury, London, NW9 0FH",NW9 0FH,AUTO_INCLUDE,Insufficient evidence to confirm substantial bakery provision for this specific Morrisons.,YES,Substantially sized supermarket and evidence of bakery area
940538,Lidl,Lidl,"2A Glebe Way, West Wickham, BR4 0RJ",BR4 0RJ,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision.,YES,Image evidence of bakery provision
1094617,Lidl,Lidl,"Ground Floor 124 - 126 High Street, Bromley, BR1 1EZ",BR1 1EZ,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision.,YES,Image evidence of bakery provision
1450625,Lidl,Lidl,"Unit 1 168 Sevenoaks Way, Orpington, BR5 3AE",BR5 3AE,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision.,YES,Image evidence of bakery provision
470814,Sainsburys Supermarket,Sainsbury's,"204-206 West End Lane, NW6 1SG",NW6 1SG,AUTO_INCLUDE,The Sainsbury's store locator for 204-206 West End Lane NW6 1SG does not explicitly mention bakery provision.,NO,Sainsbury's Local small store unlikely to have bakery section
1108943,Lidl,Lidl,"Unit 4, The Oaks Shopping Centre, High Street, W3 6RE",W3 6RE,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision for this specific Lidl location.,YES,Image evidence of bakery provision
1108944,Lidl,Lidl,"63 - 65 Broadway, West Ealing, W13 9BP",W13 9BP,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision for this specific Lidl location.,YES,Image evidence of bakery provision
1582816,Lidl,Lidl,"23 Old Oak Common Lane, Acton, W3 7BA",W3 7BA,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision for this specific Lidl location.,YES,Image evidence of bakery provision
316031,Wm Morrison Supermarkets Limited,Morrisons,"Morrisons Supermarket And Car Park, Aldermans Hill, LONDON, N13 4YD",N13 4YD,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision for this specific Morrisons location.,YES,There is evidence online of the palmers green store having a bakery
1030259,Lidl,Lidl,"654-658 Hertford Road, ENFIELD, EN3 6LZ",EN3 6LZ,AUTO_INCLUDE,"While Lidl Hertford Road is a supermarket, specific bakery provision is not explicitly mentioned.",YES,Image evidence of bakery provision
694512,Lidl,Lidl,"1 Macbean Street, Woolwich, SE18 6LW",SE18 6LW,AUTO_INCLUDE,"The exact Lidl branch at 1 Macbean Street, Woolwich, SE18 6LW could not be confidently identified with specific bakery details.",YES,Image evidence of bakery provision
1334503,Lidl,Lidl,"1 Kings Mall, King Street, London, W6 0PZ",W6 0PZ,AUTO_INCLUDE,"While Lidl generally has bakeries, specific provision for this exact address is not explicitly stated.",YES,Image evidence of bakery provision
422069,Lidl,Lidl,"Unit 4b, Tottenham Hale Retail Park, Broad Lane, N15 4QD",N15 4QD,AUTO_INCLUDE,"While Lidl stores often have bakeries, specific provision for this exact address is not explicitly stated.",YES,Image evidence of bakery provision
422952,Wm Morrison Supermarkets Limited,Morrisons,"Supermarket, 199-201 High Road, Wood Green, N22 6DR",N22 6DR,AUTO_INCLUDE,There is no specific information available regarding bakery provision for this Morrisons location.,YES,There is evidence online of this store having bakery provisions
423386,Lidl,Lidl,"269-271 Seven Sisters Road, Hornsey, London, N4 2DE",N4 2DE,AUTO_INCLUDE,"While Lidl stores often have bakeries, specific provision for this exact address is not explicitly stated.",YES,Image evidence of bakery provision
276834,Lidl,Lidl,"80-82 The Broadway, Stanmore, HA7 4DU",HA7 4DU,AUTO_INCLUDE,"The specific Lidl at this address could not be confidently identified as having substantial bakery provision, and a Wenzel's bakery is listed at a similar address.",YES,Image evidence of bakery provision
