AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,Chain,BusinessNameText,Address,ScreenStatus,ScreenReason
,Highbridge Road,,Barking,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,107548,38019,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 7BS,2023-08-31T00:00:00,fhrs_5_en-gb,5,,FHRS,0.070767,51.536319,0.0,0.0,5.0,Tesco,tesco,"Highbridge Road, IG11 7BS",NEEDS_CHECK,Tesco store format unclear from FHRS record
,97-131 High Road,,Chadwell Heath,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,124152,5265,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM6 6PB,2023-05-27T00:00:00,fhrs_5_en-gb,5,,FHRS,0.133554,51.571543,0.0,0.0,0.0,Sainsbury's,sainsbury's,"97-131 High Road, RM6 6PB",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
Unit 1 Merrielands Retail Park,Merrielands Crescent,,Dagenham,Asda,Retailers - supermarkets/hypermarkets,7840,0,,125172,5369,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM9 6SJ,2024-11-02T00:00:00,fhrs_5_en-gb,5,,FHRS,0.145621,51.5305766,5.0,5.0,5.0,Asda,asda,"Unit 1 Merrielands Retail Park, Merrielands Crescent, RM9 6SJ",NEEDS_CHECK,Asda store format unclear from FHRS record
,Ripple Road,,Barking,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,127823,57404,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 9PG,2025-02-22T00:00:00,fhrs_4_en-gb,4,,FHRS,0.105570003390312,51.5334129333496,0.0,10.0,0.0,Tesco,tesco,"Ripple Road, IG11 9PG",NEEDS_CHECK,Tesco store format unclear from FHRS record
,228 Heathway,,Dagenham,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,128224,58084,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 8QS,2024-12-04T00:00:00,fhrs_5_en-gb,5,,FHRS,0.14813,51.541852,5.0,5.0,5.0,Tesco,tesco,"228 Heathway, RM10 8QS",NEEDS_CHECK,Tesco store format unclear from FHRS record
Unit 6 & 7 Barking Central,Aboretum Place,,Ripple Road,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,129189,59694,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 7PE,2025-02-24T00:00:00,fhrs_5_en-gb,5,,FHRS,0.080047,51.537459,0.0,5.0,0.0,Tesco,tesco,"Unit 6 & 7 Barking Central, Aboretum Place, IG11 7PE",NEEDS_CHECK,Tesco store format unclear from FHRS record
17 Rowallen Parade,Green Lane,,Dagenham,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,415744,61474,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 1XU,2025-02-11T00:00:00,fhrs_5_en-gb,5,,FHRS,0.120558,51.562992,5.0,5.0,5.0,Tesco,tesco,"17 Rowallen Parade, Green Lane, RM8 1XU",NEEDS_CHECK,Tesco store format unclear from FHRS record
,Shafter Road,,Dagenham,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,580252,61982,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 8AJ,2023-10-30T00:00:00,fhrs_5_en-gb,5,,FHRS,0.164005,51.543008,0.0,0.0,0.0,Tesco,tesco,"Shafter Road, RM10 8AJ",NEEDS_CHECK,Tesco store format unclear from FHRS record
,201 Oxlow Lane,,Dagenham,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,595255,61932,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM10 7YA,2023-05-20T00:00:00,fhrs_5_en-gb,5,,FHRS,0.153637,51.55159,5.0,5.0,5.0,Tesco,tesco,"201 Oxlow Lane, RM10 7YA",NEEDS_CHECK,Tesco store format unclear from FHRS record
,Eldonwall Trading Estate,,Whalebone Lane South,Asda,Retailers - supermarkets/hypermarkets,7840,0,,628396,62955,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM8 1AT,2025-09-20T00:00:00,fhrs_5_en-gb,5,,FHRS,0.144977,51.566505,5.0,5.0,5.0,Asda,asda,"Eldonwall Trading Estate, RM8 1AT",NEEDS_CHECK,Asda store format unclear from FHRS record
