FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource
1800738,Garip's Superstore Ltd,garip s superstore ltd,Retailers - other,"14-20 Farr Avenue, Barking",IG11 0NZ,Barking and Dagenham,0.104667,51.5288,GROCER_BAKERY,VERIFIED_CANDIDATE
1536039,Spar-Uppercrust Barking,spar uppercrust barking,Retailers - other,"Texaco Star Service Station, Ripple Road, Barking",IG11 0TT,Barking and Dagenham,,,GROCER_BAKERY,VERIFIED_CANDIDATE
107548,Tesco,tesco,Retailers - supermarkets/hypermarkets,"Highbridge Road, Barking",IG11 7BS,Barking and Dagenham,0.070767,51.536319,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
1177749,Lidl Great Britain Ltd,lidl great britain ltd,Retailers - supermarkets/hypermarkets,"62-82 Ripple Road, Barking",IG11 7PG,Barking and Dagenham,0.081059,51.536569,GROCER_BAKERY,VERIFIED_CANDIDATE
1255319,Taj Mahal Sweet Centre,taj mahal sweet centre,Retailers - other,"200a Ripple Road, Barking",IG11 7PR,Barking and Dagenham,0.085834,51.534083,GROCER_BAKERY,VERIFIED_CANDIDATE
553063,Way 2 Save,way 2 save,Retailers - other,"147 Ripple Road, Barking",IG11 7PW,Barking and Dagenham,0.084018,51.534412,GROCER_BAKERY,LOCATION_VERIFICATION
1901219,Churrabrasa LTD,churrabrasa ltd,Restaurant/Cafe/Canteen,"97 Movers Lane, Barking",IG11 7UQ,Barking and Dagenham,0.0911949,51.532522,BAKERY_CAFE,VERIFIED_CANDIDATE
1932655,RK Convenience,rk convenience,Retailers - other,"17-19 London Road, Barking",IG11 8AA,Barking and Dagenham,0.0783865,51.5379122,GROCER_BAKERY,VERIFIED_CANDIDATE
553034,Shell Service Station,shell service station,Retailers - other,"London Road, Barking",IG11 8BU,Barking and Dagenham,0.071202,51.537642,GROCER_BAKERY,LOCATION_VERIFICATION
1765885,Flavour Food and Beverage Ltd,flavour food and beverage ltd,Restaurant/Cafe/Canteen,"Unit 4 Vicarage Field Shopping Centre, Ripple Road, Barking",IG11 8DG,Barking and Dagenham,0.0807669,51.5378243,BAKERY_CAFE,VERIFIED_CANDIDATE
1844383,Barking Cost Cutter Limited,barking cost cutter limited,Retailers - supermarkets/hypermarkets,"Focal House, 12-18 Station Parade, Barking",IG11 8DN,Barking and Dagenham,0.0804551,51.5382615,GROCER_BAKERY,VERIFIED_CANDIDATE
1950032,Magazin Romanesc,magazin romanesc,Retailers - other,"19 Station Parade, Barking",IG11 8ED,Barking and Dagenham,0.079935,51.538495,GROCER_BAKERY,LOCATION_VERIFICATION
103952,Greggs,greggs,Takeaway/sandwich shop,"Greggs, 59 East Street, Barking",IG11 8EJ,Barking and Dagenham,0.078877,51.537722,BAKERY_CAFE,LOCATION_VERIFICATION
103768,Iceland,iceland,Retailers - supermarkets/hypermarkets,"Iceland, 34-42 East Street, Barking",IG11 8EP,Barking and Dagenham,0.078339,51.53668,GROCER_BAKERY,LOCATION_VERIFICATION
847353,Asda,asda,Retailers - other,"Genoa Building, 2 Short Blue Place, Barking",IG11 8FJ,Barking and Dagenham,0.07769,51.537635,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
810631,BG Zakuska,bg zakuska,Retailers - other,"46 Longbridge Road, Barking",IG11 8RT,Barking and Dagenham,0.083067,51.540427,CORE_BAKERY,VERIFIED_CANDIDATE
465947,TST Foods Ltd,tst foods ltd,Retailers - other,"2a The Odeon, 22-30 Longbridge Road",IG11 8RX,Barking and Dagenham,0.082574,51.540058,GROCER_BAKERY,VERIFIED_CANDIDATE
