FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource,postcode_clean,msoa_code,assignment_method,msoa_name,borough_code,borough_name
1205496,Illegally Delicious,illegally delicious,Other catering premises,,RM8 ,Barking and Dagenham,,,BAKERY_CAFE,VERIFIED_CANDIDATE,RM8,,unmatched,,,
1752355,Sugaroholic,sugaroholic,Takeaway/sandwich shop,,RM10,Barking and Dagenham,,,CORE_BAKERY,VERIFIED_CANDIDATE,RM10,,unmatched,,,
1407329,CJ's Bakery,cj s bakery,Other catering premises,,N3 2,Barnet,,,CORE_BAKERY,VERIFIED_CANDIDATE,N32,,unmatched,,,
1914232,Kaaphi,kaaphi,Other catering premises,,NW7 ,Barnet,,,BAKERY_CAFE,VERIFIED_CANDIDATE,NW7,,unmatched,,,
1960730,Minique Atelier,minique atelier,Other catering premises,,N12 ,Barnet,,,CORE_BAKERY,LOCATION_VERIFICATION,N12,,unmatched,,,
1765006,Sourdough Mikate,sourdough mikate,Retailers - other,,SE2 ,Bexley,,,CORE_BAKERY,VERIFIED_CANDIDATE,SE2,,unmatched,,,
1753666,Freads Breads,freads breads,Other catering premises,,NW6 ,Brent,,,CORE_BAKERY,VERIFIED_CANDIDATE,NW6,,unmatched,,,
1921704,Momo Patisserie,momo patisserie,Other catering premises,,NW9 ,Brent,,,CORE_BAKERY,VERIFIED_CANDIDATE,NW9,,unmatched,,,
1842653,Dooley Dough,dooley dough,Other catering premises,,BR2 ,Bromley,,,CORE_BAKERY,VERIFIED_CANDIDATE,BR2,,unmatched,,,
940534,Elvira's Secret Pantry,elvira s secret pantry,Restaurant/Cafe/Canteen,,BR3 ,Bromley,,,CORE_BAKERY,VERIFIED_CANDIDATE,BR3,,unmatched,,,
1956479,The Mini Bakehouse,the mini bakehouse,Other catering premises,,BR6 ,Bromley,,,BAKERY_CAFE,VERIFIED_CANDIDATE,BR6,,unmatched,,,
1876682,BRITISH HOME FOOD,british home food,Retailers - other,"Real Food Market Kings Cross Square, Euston Road, London",N1C 9AL,Camden,,,GROCER_BAKERY,VERIFIED_CANDIDATE,N1C9AL,,unmatched,,,
1900920,Bread And Butter,bread and butter,Other catering premises,,CR0 ,Croydon,,,CORE_BAKERY,LOCATION_VERIFICATION,CR0,,unmatched,,,
985155,Pandan Bakery,pandan bakery,Other catering premises,,W3 6,Ealing,,,CORE_BAKERY,VERIFIED_CANDIDATE,W36,,unmatched,,,
1567788,Sokolatinna,sokolatinna,Other catering premises,,EN1 ,Enfield,,,BAKERY_CAFE,VERIFIED_CANDIDATE,EN1,,unmatched,,,
1584854,The Tasty Treats,the tasty treats,Caring Premises,,EN1 ,Enfield,,,CORE_BAKERY,VERIFIED_CANDIDATE,EN1,,unmatched,,,
1043793,G.O.D Cakes / Bakery,g o d cakes bakery,Takeaway/sandwich shop,,E5 8,Hackney,,,BAKERY_CAFE,VERIFIED_CANDIDATE,E58,,unmatched,,,
469894,Ginger Pig,ginger pig,Retailers - other,,E9 7,Hackney,,,GROCER_BAKERY,VERIFIED_CANDIDATE,E97,,unmatched,,,
1264253,Kichiya,kichiya,Manufacturers/packers,,E8 3,Hackney,,,BAKERY_CAFE,VERIFIED_CANDIDATE,E83,,unmatched,,,
1301303,This is Thingy Ltd,this is thingy ltd,Restaurant/Cafe/Canteen,,E9 5,Hackney,,,BAKERY_CAFE,VERIFIED_CANDIDATE,E95,,unmatched,,,
1515054,Mothers Bakehouse,mothers bakehouse,Other catering premises,,SW6 ,Hammersmith and Fulham,,,CORE_BAKERY,VERIFIED_CANDIDATE,SW6,,unmatched,,,
1883729,The Sweet Corner,the sweet corner,Other catering premises,,W6 0,Hammersmith and Fulham,,,BAKERY_CAFE,VERIFIED_CANDIDATE,W60,,unmatched,,,
1830443,Be More Shirley Bakery,be more shirley bakery,Manufacturers/packers,,N17 ,Haringey,,,CORE_BAKERY,VERIFIED_CANDIDATE,N17,,unmatched,,,
1786369,Lih bakehouse,lih bakehouse,Other catering premises,,N22 ,Haringey,,,BAKERY_CAFE,VERIFIED_CANDIDATE,N22,,unmatched,,,
1646194,Oakfield Bakery LLP,oakfield bakery llp,Retailers - other,,N8 9,Haringey,,,CORE_BAKERY,VERIFIED_CANDIDATE,N89,,unmatched,,,
1332433,Kandy's Cafe,kandy s cafe,Mobile caterer,,HA3 ,Harrow,,,BAKERY_CAFE,VERIFIED_CANDIDATE,HA3,,unmatched,,,
1958183,Mama Bakery & Brunch Ltd,mama bakery and brunch ltd,Other catering premises,,HA8 ,Harrow,,,BAKERY_CAFE,VERIFIED_CANDIDATE,HA8,,unmatched,,,
1810490,My Trini Shop,my trini shop,Retailers - other,,RM1 ,Havering,,,GROCER_BAKERY,VERIFIED_CANDIDATE,RM1,,unmatched,,,
1288969,Pret A Manger,pret a manger,Restaurant/Cafe/Canteen,"Terminal 2 The Queen's Terminal, Inner Ring East, London Heathrow Airport",TW69 1EW,Hillingdon,,,BAKERY_CAFE,LOCATION_VERIFICATION,TW691EW,,unmatched,,,
1558895,Kensington Gardens Tea & Chocolaterie,kensington gardens tea and chocolaterie,Other catering premises,,W11 ,Kensington and Chelsea,,,CORE_BAKERY,VERIFIED_CANDIDATE,W11,,unmatched,,,
1600030,Kouttone,kouttone,Other catering premises,,SE6 ,Lewisham,,,CORE_BAKERY,VERIFIED_CANDIDATE,SE6,,unmatched,,,
1600462,Tugaliciouz,tugaliciouz,Other catering premises,,SE8 ,Lewisham,,,BAKERY_CAFE,VERIFIED_CANDIDATE,SE8,,unmatched,,,
1281545,The Bakineer,the bakineer,Other catering premises,,E12 ,Newham,,,CORE_BAKERY,VERIFIED_CANDIDATE,E12,,unmatched,,,
1807671,Bake & Brew Ltd,bake and brew ltd,Takeaway/sandwich shop,,E18 ,Redbridge,,,BAKERY_CAFE,VERIFIED_CANDIDATE,E18,,unmatched,,,
1575298,The Barnes Bakehouse,the barnes bakehouse,Other catering premises,,SW13,Richmond-Upon-Thames,,,CORE_BAKERY,VERIFIED_CANDIDATE,SW13,,unmatched,,,
1759863,Nonna anna limited,nonna anna limited,Takeaway/sandwich shop,"Kiosk Canada Water Bus Station, Surrey Quays Road, London",SE16 7NJ,Southwark,,,BAKERY_CAFE,VERIFIED_CANDIDATE,SE167NJ,,unmatched,,,
1193878,The Tower,the tower,Restaurant/Cafe/Canteen,"St Marys Church, Church Road, Wallington",,Sutton,-0.616448951812106,51.7122405149527,BAKERY_CAFE,VERIFIED_CANDIDATE,,,unmatched,,,
1730468,Blue Daisy,blue daisy,Mobile caterer,,E3 4,Tower Hamlets,,,CORE_BAKERY,VERIFIED_CANDIDATE,E34,,unmatched,,,
1949647,"SUBA, SUBA Bakery",suba suba bakery,Restaurant/Cafe/Canteen,,E1 6,Tower Hamlets,,,CORE_BAKERY,VERIFIED_CANDIDATE,E16,,unmatched,,,
194769,Wapping Sourdough,wapping sourdough,Other catering premises,,E1W ,Tower Hamlets,,,CORE_BAKERY,VERIFIED_CANDIDATE,E1W,,unmatched,,,
690018,E17 Crumbs,e17 crumbs,Other catering premises,,E17 ,Waltham Forest,,,CORE_BAKERY,VERIFIED_CANDIDATE,E17,,unmatched,,,
1758654,Daisy & Co Bakery,daisy and co bakery,Restaurant/Cafe/Canteen,,SW11,Wandsworth,,,BAKERY_CAFE,VERIFIED_CANDIDATE,SW11,,unmatched,,,
1384924,Daniels Cafe & Patisserie,daniels cafe and patisserie,Retailers - other,,W9 2,Westminster,,,BAKERY_CAFE,VERIFIED_CANDIDATE,W92,,unmatched,,,
