FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource,postcode_clean,msoa_code,assignment_method,msoa_name,borough_code,borough_name
1134946,3 Leaf,3 leaf,Restaurant/Cafe/Canteen,"12 Harrow Place, London",E1 7DB,City of London Corporation,-0.0771797,51.5162042,BAKERY_CAFE,VERIFIED_CANDIDATE,E17DB,E02000001,postcode,City of London 001,E09000001,City of London
1731463,8 Bishopsgate By Rhubarb,8 bishopsgate by rhubarb,Restaurant/Cafe/Canteen,"8 Bishopsgate, London",EC2N 4BQ,City of London Corporation,-0.083339,51.5140299,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2N4BQ,E02000001,postcode,City of London 001,E09000001,City of London
1793390,9 Bars Coffee Ltd,9 bars coffee ltd,Takeaway/sandwich shop,"59 Fleet Street, London",EC4Y 1JU,City of London Corporation,-0.1082554,51.5141018,BAKERY_CAFE,VERIFIED_CANDIDATE,EC4Y1JU,E02000001,postcode,City of London 001,E09000001,City of London
1297523,Aux Merveilleux De Fred,aux merveilleux de fred,Takeaway/sandwich shop,"1-3 Leadenhall Market, London",EC3V 1LR,City of London Corporation,-0.083405,51.51269,CORE_BAKERY,LOCATION_VERIFICATION,EC3V1LR,E02000001,postcode,City of London 001,E09000001,City of London
1660752,Bagel Factory,bagel factory,Takeaway/sandwich shop,"32 - 33 Blomfield Street, London",EC2M 7BD,City of London Corporation,-0.0846376,51.5177741,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M7BD,E02000001,postcode,City of London 001,E09000001,City of London
543147,Birley Sandwiches,birley sandwiches,Takeaway/sandwich shop,"90-94 Old Broad Street, London",EC2M 1JB,City of London Corporation,-0.08367,51.51666,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M1JB,E02000001,postcode,City of London 001,E09000001,City of London
1036432,Birley Sandwiches,birley sandwiches,Restaurant/Cafe/Canteen,"DBP House, 62-63 Mark Lane, London",EC3R 7NQ,City of London Corporation,-0.30624494,51.6147915,BAKERY_CAFE,LOCATION_VERIFICATION,EC3R7NQ,E02000001,postcode,City of London 001,E09000001,City of London
1568296,Blank Street,blank street,Takeaway/sandwich shop,"King William House, 2A Eastcheap, London",EC3M 1AA,City of London Corporation,-0.0855725,51.5106042,BAKERY_CAFE,LOCATION_VERIFICATION,EC3M1AA,E02000001,postcode,City of London 001,E09000001,City of London
1629735,Blank Street,blank street,Takeaway/sandwich shop,"87 Old Broad Street, London",EC2M 1JB,City of London Corporation,-0.0835427,51.516731,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M1JB,E02000001,postcode,City of London 001,E09000001,City of London
1651222,Bloomsyard,bloomsyard,Restaurant/Cafe/Canteen,"1 Finsbury Avenue, London",EC2M 2PA,City of London Corporation,-0.084159,51.519789,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M2PA,E02000001,postcode,City of London 001,E09000001,City of London
1676741,Boki,boki,Restaurant/Cafe/Canteen,"1 Creechurch Place, London",EC3A 5AF,City of London Corporation,-0.0784649,51.5142601,BAKERY_CAFE,VERIFIED_CANDIDATE,EC3A5AF,E02000001,postcode,City of London 001,E09000001,City of London
1469301,Bread & Truffle,bread and truffle,Restaurant/Cafe/Canteen,"Peek House, 20 Eastcheap, London",EC3M 1EB,City of London Corporation,-0.0837174,51.510511,BAKERY_CAFE,LOCATION_VERIFICATION,EC3M1EB,E02000001,postcode,City of London 001,E09000001,City of London
1914082,Bread \& Truffle,bread and truffle,Takeaway/sandwich shop,"9 Bow Lane, London",EC4M 9EB,City of London Corporation,-0.093747,51.513164,BAKERY_CAFE,LOCATION_VERIFICATION,EC4M9EB,E02000001,postcode,City of London 001,E09000001,City of London
1845991,Bread&truffle,bread and truffle,Takeaway/sandwich shop,"2 - 3 Adam's Court, London",EC2N 1DX,City of London Corporation,-0.0852005,51.5146628,BAKERY_CAFE,LOCATION_VERIFICATION,EC2N1DX,E02000001,postcode,City of London 001,E09000001,City of London
1501149,Buns From Home,buns from home,Takeaway/sandwich shop,"33 Royal Exchange, London",EC3V 3LP,City of London Corporation,-0.08759,51.513586,CORE_BAKERY,LOCATION_VERIFICATION,EC3V3LP,E02000001,postcode,City of London 001,E09000001,City of London
1803982,Buns From Home,buns from home,Takeaway/sandwich shop,"82 Moorgate, London",EC2M 6SE,City of London Corporation,-0.0883469,51.5176548,CORE_BAKERY,LOCATION_VERIFICATION,EC2M6SE,E02000001,postcode,City of London 001,E09000001,City of London
1840715,Buns From Home,buns from home,Restaurant/Cafe/Canteen,"16 Leadenhall Market, London",EC3V 1LR,City of London Corporation,-0.083405,51.51269,CORE_BAKERY,LOCATION_VERIFICATION,EC3V1LR,E02000001,postcode,City of London 001,E09000001,City of London
1649529,Charles Artisan Bread,charles artisan bread,Takeaway/sandwich shop,"8 Eldon Street, London",EC2M 7LS,City of London Corporation,-0.085778996348381,51.5187454223633,CORE_BAKERY,LOCATION_VERIFICATION,EC2M7LS,E02000001,postcode,City of London 001,E09000001,City of London
1621477,Coco Di Mama,coco di mama,Takeaway/sandwich shop,"R2 West Mall, Liverpool Street Station, Liverpool Street, London",EC2M 7PY,City of London Corporation,-0.0821018,51.5180923,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M7PY,E02000001,postcode,City of London 001,E09000001,City of London
1791098,Cornershop,cornershop,Retailers - other,"99 Middlesex Street, London",E1 7DA,City of London Corporation,-0.0768965,51.5164243,BAKERY_CAFE,LOCATION_VERIFICATION,E17DA,E02000001,postcode,City of London 001,E09000001,City of London
1207732,Costa Limited,costa limited,Takeaway/sandwich shop,"67 Long Lane, London",EC1A 9EJ,City of London Corporation,-0.0994667,51.5193762,BAKERY_CAFE,LOCATION_VERIFICATION,EC1A9EJ,E02000001,postcode,City of London 001,E09000001,City of London
295146,Curators Coffee Studio,curators coffee studio,Takeaway/sandwich shop,"9A Cullum Street, London",EC3M 7JJ,City of London Corporation,-0.082593,51.512119,BAKERY_CAFE,VERIFIED_CANDIDATE,EC3M7JJ,E02000001,postcode,City of London 001,E09000001,City of London
800534,Forbes And Hamilton,forbes and hamilton,Restaurant/Cafe/Canteen,"47 London Wall, London",EC2M 5TE,City of London Corporation,-0.088126,51.516958,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2M5TE,E02000001,postcode,City of London 001,E09000001,City of London
1113069,Fortnum And Mason,fortnum and mason,Restaurant/Cafe/Canteen,"Unit 4 (Ground Floor), The Courtyard, Royal Exchange, London",EC3V 3LQ,City of London Corporation,-0.0875900015234947,51.5135841369629,BAKERY_CAFE,LOCATION_VERIFICATION,EC3V3LQ,E02000001,postcode,City of London 001,E09000001,City of London
1759564,Gail's Liverpool Street Station,gail s liverpool street station,Restaurant/Cafe/Canteen,"Retail Unit 3A Lower Concourse, Liverpool Street Station, Liverpool Street, London",EC2M 7PY,City of London Corporation,-0.0821018,51.5180923,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2M7PY,E02000001,postcode,City of London 001,E09000001,City of London
1808378,Gail's Millennium Bridge,gail s millennium bridge,Restaurant/Cafe/Canteen,"7 Peter's Hill, London",EC4V 4AU,City of London Corporation,-0.0982402,51.5112146,CORE_BAKERY,VERIFIED_CANDIDATE,EC4V4AU,E02000001,postcode,City of London 001,E09000001,City of London
1926442,Gails Cheapside,gails cheapside,Restaurant/Cafe/Canteen,"1 New Change, London",EC4M 9AF,City of London Corporation,-0.09523,51.513548,BAKERY_CAFE,VERIFIED_CANDIDATE,EC4M9AF,E02000001,postcode,City of London 001,E09000001,City of London
1097491,Greggs,greggs,Takeaway/sandwich shop,"Cannon Street Railway Station, Cannon Street, London",EC4N 6AP,City of London Corporation,-0.090263,51.511372,CORE_BAKERY,LOCATION_VERIFICATION,EC4N6AP,E02000001,postcode,City of London 001,E09000001,City of London
1427984,Greggs,greggs,Takeaway/sandwich shop,"3 Eastcheap, London",EC3M 1AG,City of London Corporation,-0.0853619,51.5108166,CORE_BAKERY,LOCATION_VERIFICATION,EC3M1AG,E02000001,postcode,City of London 001,E09000001,City of London
1453371,Greggs,greggs,Takeaway/sandwich shop,"Great Eastern House, 152-154 Bishopsgate, London",EC2M 4LN,City of London Corporation,-0.0805187,51.5170053,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M4LN,E02000001,postcode,City of London 001,E09000001,City of London
1844649,Greggs,greggs,Takeaway/sandwich shop,"74 Aldgate High Street, London",EC3N 1BD,City of London Corporation,-0.0754785,51.5138201,BAKERY_CAFE,LOCATION_VERIFICATION,EC3N1BD,E02000001,postcode,City of London 001,E09000001,City of London
1712263,Greggs PLC,greggs plc,Restaurant/Cafe/Canteen,"49 Cheapside, London",EC2V 6AT,City of London Corporation,-0.0943647,51.5140298,BAKERY_CAFE,LOCATION_VERIFICATION,EC2V6AT,E02000001,postcode,City of London 001,E09000001,City of London
1858116,Greggs PLC,greggs plc,Restaurant/Cafe/Canteen,"50 - 52 Ludgate Hill, London",EC4M 7AW,City of London Corporation,-0.1027394,51.5141793,BAKERY_CAFE,LOCATION_VERIFICATION,EC4M7AW,E02000001,postcode,City of London 001,E09000001,City of London
1438638,Greggs Plc,greggs plc,Takeaway/sandwich shop,"83 Old Broad Street, London",EC2M 1PR,City of London Corporation,-0.0833972,51.5171064,CORE_BAKERY,LOCATION_VERIFICATION,EC2M1PR,E02000001,postcode,City of London 001,E09000001,City of London
1964741,Greggs Plc,greggs plc,Takeaway/sandwich shop,"4 New Street Square, London",EC4A 3BF,City of London Corporation,-0.1081401,51.5154938,BAKERY_CAFE,LOCATION_VERIFICATION,EC4A3BF,E02000001,postcode,City of London 001,E09000001,City of London
1542348,"Greggs Plc, Unit 26",greggs plc unit 26,Takeaway/sandwich shop,"Liverpool Street Railway Station, Liverpool Street, London",EC2M 7PY,City of London Corporation,-0.081393,51.519068,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2M7PY,E02000001,postcode,City of London 001,E09000001,City of London
948352,Grind & Co Ltd,grind and co ltd,Restaurant/Cafe/Canteen,"34 Royal Exchange, London",EC3V 3LP,City of London Corporation,-0.08759,51.513585,BAKERY_CAFE,VERIFIED_CANDIDATE,EC3V3LP,E02000001,postcode,City of London 001,E09000001,City of London
1666610,Hagen Leadenhall,hagen leadenhall,Other catering premises,"8-9 Leadenhall Market, London",EC3V 1LR,City of London Corporation,-0.0836178,51.5128834,BAKERY_CAFE,VERIFIED_CANDIDATE,EC3V1LR,E02000001,postcode,City of London 001,E09000001,City of London
1794894,Kafeteria,kafeteria,Mobile caterer,"44 Moorfields, London",EC2Y 9AL,City of London Corporation,-0.088638,51.519187,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2Y9AL,E02000001,postcode,City of London 001,E09000001,City of London
1660749,Konditor,konditor,Takeaway/sandwich shop,"15 Cullum Street, London",EC3M 7JJ,City of London Corporation,-0.0828187,51.512007,CORE_BAKERY,VERIFIED_CANDIDATE,EC3M7JJ,E02000001,postcode,City of London 001,E09000001,City of London
1938751,Laduree Royal Exchange,laduree royal exchange,Retailers - other,"28 Royal Exchange, London",EC3V 3LP,City of London Corporation,-0.0872394,51.5138148,CORE_BAKERY,VERIFIED_CANDIDATE,EC3V3LP,E02000001,postcode,City of London 001,E09000001,City of London
1407952,Laduree UK Ltd,laduree uk ltd,Retailers - other,"5 Royal Exchange, London",EC3V 3LL,City of London Corporation,-0.0871253,51.5134443,CORE_BAKERY,VERIFIED_CANDIDATE,EC3V3LL,E02000001,postcode,City of London 001,E09000001,City of London
1900387,Laduree UK Ltd,laduree uk ltd,Takeaway/sandwich shop,"1 Broadgate, London",EC2M 2QS,City of London Corporation,-0.08359,51.518925,BAKERY_CAFE,LOCATION_VERIFICATION,EC2M2QS,E02000001,postcode,City of London 001,E09000001,City of London
1753162,Lebaneats,lebaneats,Takeaway/sandwich shop,"67 Chancery Lane, London",WC2A 1AF,City of London Corporation,-0.113483,51.517917,BAKERY_CAFE,VERIFIED_CANDIDATE,WC2A1AF,E02000001,postcode,City of London 001,E09000001,City of London
294390,Leon Ludgate Circus,leon ludgate circus,Restaurant/Cafe/Canteen,"Retail Unit, 12 Ludgate Circus, London",EC4M 7LQ,City of London Corporation,-0.104061,51.51433,BAKERY_CAFE,VERIFIED_CANDIDATE,EC4M7LQ,E02000001,postcode,City of London 001,E09000001,City of London
858646,Leon Moorgate,leon moorgate,Restaurant/Cafe/Canteen,"Unit 5 Moorgate Hall, 143-171 Moorgate, London",EC2M 6XQ,City of London Corporation,-0.088232,51.518892,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2M6XQ,E02000001,postcode,City of London 001,E09000001,City of London
294553,Marks & Spencer Simply Foods,marks and spencer simply foods,Retailers - supermarkets/hypermarkets,"323-324 High Holborn, London",WC1V 7PU,City of London Corporation,-0.112668,51.518083,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT,WC1V7PU,E02000001,postcode,City of London 001,E09000001,City of London
1721351,Nana's,nana s,Takeaway/sandwich shop,"105A Minories, London",EC3N 1LA,City of London Corporation,-0.075211,51.510838,BAKERY_CAFE,VERIFIED_CANDIDATE,EC3N1LA,E02000001,postcode,City of London 001,E09000001,City of London
1791106,Nisa Local,nisa local,Retailers - other,"55-56 Aldgate High Street, London",EC3N 1AL,City of London Corporation,-0.0745629,51.5141402,GROCER_BAKERY,LOCATION_VERIFICATION,EC3N1AL,E02000001,postcode,City of London 001,E09000001,City of London
688705,Notes,notes,Restaurant/Cafe/Canteen,"City Point, 1 Ropemaker Street, London",EC2Y 9AW,City of London Corporation,-0.089608,51.519437,BAKERY_CAFE,VERIFIED_CANDIDATE,EC2Y9AW,E02000001,postcode,City of London 001,E09000001,City of London
