msoa_code,msoa_name,borough_code,borough_name,bakery_count
E02000001,City of London 001,E09000001,City of London,129
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,7
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,4
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,4
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,4
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,1
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,3
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,1
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,2
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,3
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,3
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,7
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,3
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,9
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,3
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,5
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,4
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,5
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,1
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,1
E02000024,Barnet 001,E09000003,Barnet,13
E02000025,Barnet 002,E09000003,Barnet,1
E02000026,Barnet 003,E09000003,Barnet,1
E02000027,Barnet 004,E09000003,Barnet,1
E02000028,Barnet 005,E09000003,Barnet,0
E02000029,Barnet 006,E09000003,Barnet,7
E02000030,Barnet 007,E09000003,Barnet,1
E02000031,Barnet 008,E09000003,Barnet,4
E02000032,Barnet 009,E09000003,Barnet,2
E02000033,Barnet 010,E09000003,Barnet,0
E02000034,Barnet 011,E09000003,Barnet,2
E02000035,Barnet 012,E09000003,Barnet,1
E02000036,Barnet 013,E09000003,Barnet,2
E02000037,Barnet 014,E09000003,Barnet,1
E02000038,Barnet 015,E09000003,Barnet,2
E02000039,Barnet 016,E09000003,Barnet,8
E02000040,Barnet 017,E09000003,Barnet,4
E02000041,Barnet 018,E09000003,Barnet,12
E02000042,Barnet 019,E09000003,Barnet,9
E02000043,Barnet 020,E09000003,Barnet,0
E02000044,Barnet 021,E09000003,Barnet,2
E02000045,Barnet 022,E09000003,Barnet,1
E02000046,Barnet 023,E09000003,Barnet,8
E02000047,Barnet 024,E09000003,Barnet,6
E02000048,Barnet 025,E09000003,Barnet,2
E02000049,Barnet 026,E09000003,Barnet,1
E02000050,Barnet 027,E09000003,Barnet,1
E02000051,Barnet 028,E09000003,Barnet,6
E02000052,Barnet 029,E09000003,Barnet,7
E02000054,Barnet 031,E09000003,Barnet,1
E02000055,Barnet 032,E09000003,Barnet,13
E02000056,Barnet 033,E09000003,Barnet,3
E02000057,Barnet 034,E09000003,Barnet,1
E02000058,Barnet 035,E09000003,Barnet,12
E02000059,Barnet 036,E09000003,Barnet,4
E02000060,Barnet 037,E09000003,Barnet,5
E02000061,Barnet 038,E09000003,Barnet,11
E02000062,Barnet 039,E09000003,Barnet,16
E02000063,Barnet 040,E09000003,Barnet,0
