msoa_code,msoa_name,borough_code,borough_name,area_km2,population,transport_nodes,bakery_count,core_bakery_count,core_and_cafe_count,population_density_km2,transport_nodes_per_km2,bakery_density_km2,bakeries_per_10000_people,core_bakeries_per_10000_people,core_and_cafe_per_10000_people
E02000001,City of London 001,E09000001,City of London,3.1504203391814567,15111,235,129,13,114,4796.502806963894,74.59322080845179,40.94691695442673,85.36827476672622,8.603004433856132,75.44173118919993
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,2.161560664389551,8820,20,0,0,0,4080.3851334382357,9.252573998726158,0.0,0.0,0.0,0.0
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,2.141515250042252,12655,21,7,1,1,5909.367210786997,9.806140768591618,3.2687135895305395,5.531410509679968,0.7902015013828527,0.7902015013828527
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,2.4929460965825583,7056,13,4,0,1,2830.386108096232,5.214713634531039,1.6045272721633967,5.668934240362812,0.0,1.417233560090703
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,1.1879541635824629,11630,11,4,0,1,9789.940013281239,9.259616521590166,3.3671332805782423,3.4393809114359417,0.0,0.8598452278589854
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,1.7360028993623478,10717,21,4,0,0,6173.376786373149,12.0967539902805,2.304143617196286,3.7323877950919098,0.0,0.0
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,1.4199893743899326,13936,22,1,0,1,9814.157944658775,15.493073678422292,0.7042306217464678,0.7175660160734788,0.0,0.7175660160734788
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.9615213146119361,13211,14,3,0,0,13739.68501710425,14.56025965025051,3.120055639339395,2.270834910302021,0.0,0.0
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,1.1214606870735924,9760,9,1,0,0,8702.935477362418,8.025247878715344,0.8916942087461494,1.0245901639344261,0.0,0.0
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,1.594080804337089,7318,18,2,0,0,4590.73340579071,11.291773886886142,1.2546415429873492,2.7329871549603713,0.0,0.0
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,1.3003084675599996,12288,16,3,1,2,9450.065354921639,12.304772597554217,2.3071448620414157,2.44140625,0.8138020833333333,1.6276041666666665
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,1.3045244120920727,9670,17,3,0,1,7412.663121031342,13.031569085577333,2.299688662160706,3.102378490175801,0.0,1.0341261633919339
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,1.1930210354052575,10157,23,7,1,2,8513.680562681586,19.278788317581615,5.867457314046578,6.891798759476223,0.9845426799251747,1.9690853598503495
