msoa_code,population
E02000001,15111
E02000002,8820
E02000003,12655
E02000004,7056
E02000005,11630
E02000007,10717
E02000008,13936
E02000009,13211
E02000010,9760
E02000011,7318
E02000012,12288
E02000013,9670
E02000014,10157
E02000015,8759
E02000016,11306
E02000017,9418
E02000018,10011
E02000019,10746
E02000020,15024
E02000021,9416
E02000022,9565
E02000023,8654
E02006799,12630
E02000024,11163
E02000025,8602
E02000026,6348
E02000027,9716
E02000028,6755
E02000029,9883
E02000030,9545
E02000031,8988
E02000032,7993
E02000033,9060
E02000034,9363
E02000035,8810
E02000036,11451
E02000037,11376
E02000038,10929
E02000039,7307
E02000040,10697
E02000041,9877
E02000042,11675
E02000043,7529
E02000044,8879
E02000045,10517
E02000046,7206
E02000047,12802
E02000048,10296
E02000049,10257
E02000050,10463
E02000051,9583
E02000052,10097
E02000054,8156
E02000055,12376
E02000056,9325
E02000057,8277
E02000058,10617
E02000059,12637
E02000060,11994
E02000061,8674
E02000062,7364
E02000063,7684
E02000064,7281
E02006953,12790
E02006954,10708
E02000065,8391
E02000066,9890
E02000067,10924
E02000068,8668
E02000069,7866
E02000070,8333
E02000071,7958
E02000072,14657
E02000073,10850
E02000074,9134
E02000075,8079
E02000077,8463
E02000078,8178
E02000079,9854
E02000080,10516
E02000081,8557
E02000082,9409
E02000083,11777
E02000084,11419
E02000085,8007
E02000086,7116
E02000087,8214
E02000088,7736
E02000089,8075
E02000090,9942
E02000091,10321
E02000092,7065
E02006785,7035
E02000093,12230
E02000094,10616
E02000095,10466
E02000096,7844
E02000097,9622
E02000098,8717
E02000099,9735
E02000100,8342
E02000101,9825
E02000102,8325
E02000103,10238
E02000104,7630
E02000105,10278
E02000106,10705
E02000107,11078
E02000108,7585
E02000110,8053
E02000111,11415
E02000112,12855
E02000113,9668
E02000114,8906
E02000115,8555
E02000116,8719
E02000117,12966
E02000118,11845
E02000119,12231
E02000120,8689
E02000121,13013
E02000122,7948
E02000123,14102
E02000124,9428
E02000125,9633
E02000126,7755
E02006955,12155
E02006956,11804
E02000127,9609
E02000128,7790
E02000130,8504
E02000131,10669
E02000132,10409
E02000133,10880
E02000134,12165
E02000135,10024
E02000136,5794
E02000137,8406
E02000138,8564
E02000139,7844
E02000140,8881
E02000141,7395
E02000142,8891
E02000144,10598
E02000145,9103
E02000146,9836
E02000147,8274
E02000148,6871
E02000149,8381
E02000150,9046
E02000151,7556
E02000152,8032
E02000153,8156
E02000154,8859
E02000155,7230
E02000156,12252
E02000157,8387
E02000158,7931
E02000159,7184
E02000160,8341
E02000161,8782
E02000162,7045
E02000163,7645
E02000165,7137
E02006782,8204
E02006787,7852
E02006789,6792
E02000166,7729
E02000167,7189
E02000168,7664
E02000169,7207
E02000170,7976
E02000171,7337
E02000172,9491
E02000173,7818
E02000174,8270
E02000175,9346
E02000176,5873
E02000177,8595
E02000178,9123
E02000179,5912
E02000180,7966
E02000181,8080
E02000182,7472
E02000183,7500
E02000184,9580
E02000185,8769
E02000186,6574
E02000187,10540
E02000188,7570
E02000191,6339
E02000192,7116
E02000193,7167
E02007115,12740
E02000194,9789
E02000195,10044
E02000196,8280
E02000197,9287
E02000198,9312
E02000199,8551
E02000200,9432
E02000201,8765
E02000202,9425
E02000203,8293
E02000204,10394
E02000206,11433
E02000207,8943
E02000208,11699
E02000209,9440
E02000210,8928
E02000211,8449
E02000212,10176
E02000213,13937
E02000214,6297
E02000215,12356
E02000216,7437
E02000217,12736
E02000218,6538
E02000219,7846
E02000221,11392
E02000222,8597
E02000223,8449
E02000224,8531
E02000225,7659
E02000226,7703
E02000227,11911
E02000228,8064
E02000229,6503
E02000230,11600
E02000231,8381
E02000232,6402
E02000233,6552
E02000234,10082
E02000235,7133
E02000236,9504
E02000237,7843
E02006788,7633
E02006987,10162
E02006988,7454
E02000238,11724
E02000239,9701
E02000240,11804
E02000241,7753
E02000242,7394
E02000243,9582
E02000244,8147
E02000245,10030
E02000246,9971
E02000247,11700
E02000248,8036
E02000249,8977
E02000250,6346
E02000251,8730
E02000252,13643
E02000253,10332
E02000254,9800
E02000255,10114
E02000256,9578
E02000258,7014
E02000259,6609
E02000260,10584
E02000261,13236
E02000262,9805
E02000263,15126
E02000264,8745
E02000265,11776
E02000266,14308
E02000267,8647
E02000268,9305
E02000269,8362
E02000270,10299
E02000271,6887
E02000272,6608
E02000275,8845
E02000276,6778
E02006791,7515
E02006968,8700
E02006969,6838
E02006970,7848
E02006971,8788
E02000277,7738
E02000278,9253
E02000279,12190
E02000280,8610
E02000281,9686
E02000282,10016
E02000283,8369
E02000284,8651
E02000285,6571
E02000286,8759
E02000287,7437
E02000288,13204
E02000289,6771
E02000290,6756
E02000291,9950
E02000292,9797
E02000293,6221
E02000294,9416
E02000295,8343
E02000296,10289
E02000297,9324
E02000298,8083
E02000299,9684
E02000300,8844
E02000301,9942
E02000302,8643
E02000303,8288
E02000304,7736
E02000305,8701
E02000306,8553
E02000307,9955
E02000308,8861
E02000309,11699
E02000311,10424
E02000312,11125
E02006793,9545
E02000313,6412
E02000314,13462
E02000315,10444
E02000317,7381
E02000318,12005
E02000319,10951
E02000320,7133
E02000321,7963
E02000323,13245
E02000324,8015
E02000326,7918
E02000327,7190
E02000328,6578
E02000329,6521
E02000331,8430
E02000332,7450
E02000333,6213
E02000334,6759
E02000335,6677
E02000337,8558
E02000339,6481
E02000340,7190
E02000341,7973
E02000342,6819
E02000343,7126
E02000344,6381
E02006786,7669
E02006927,13438
E02006928,12791
E02006930,10328
E02006931,9979
E02006991,6658
E02006992,9465
E02006993,9807
E02006994,8118
E02000345,8251
E02000346,10119
E02000347,8055
E02000348,8398
E02000350,10181
E02000351,9699
E02000352,6806
E02000353,7841
E02000354,9691
E02000355,8335
E02000356,6890
E02000357,6847
E02000358,11182
E02000359,6809
E02000360,11709
E02000361,8435
E02000362,7636
E02000363,12170
E02000364,9359
E02000366,8424
E02000367,11041
E02000368,10459
E02000369,13766
E02000370,8876
E02006918,8497
E02006921,8090
E02007108,6198
E02007109,7790
E02007110,8227
E02007111,6977
E02000372,11672
E02000373,7081
E02000374,7020
E02000375,7639
E02000376,6772
E02000377,7839
E02000378,6547
E02000379,7351
E02000380,5553
E02000381,7780
E02000382,6362
E02000383,8768
E02000384,8811
E02000385,5514
E02000386,7700
E02000387,6291
E02000388,8806
E02000389,9115
E02000390,6225
E02000391,7523
E02000392,9238
E02000393,5976
E02000394,10278
E02000395,5923
E02000396,6903
E02000397,7902
E02000398,7613
E02000400,7766
E02000401,6823
E02000402,6557
E02000403,7379
E02000404,7022
E02000405,6347
E02000406,6592
E02000407,7506
E02000408,8136
E02000409,6075
E02000410,6237
E02000411,13169
E02000412,8079
E02000413,7655
E02000414,6991
E02000415,7144
E02000416,8183
E02000417,6411
E02000418,5274
E02000419,9016
E02000420,7996
E02000421,8850
E02000422,7225
E02000423,6784
E02000424,6494
E02000425,8003
E02000426,6477
E02000427,6589
E02000428,8587
E02000429,6467
E02000430,6944
E02000431,5706
E02000432,5884
E02006794,7967
E02000433,8917
