msoa_code,transport_nodes
E02000001,235
E02000002,20
E02000003,21
E02000004,13
E02000005,11
E02000007,21
E02000008,22
E02000009,14
E02000010,9
E02000011,18
E02000012,16
E02000013,17
E02000014,23
E02000015,19
E02000016,27
E02000017,9
E02000018,20
E02000019,26
E02000020,52
E02000021,20
E02000022,12
E02000023,32
E02000024,55
E02000025,21
E02000026,13
E02000027,41
E02000028,25
E02000029,22
E02000030,50
E02000031,45
E02000032,14
E02000033,24
E02000034,20
E02000035,28
E02000036,20
E02000037,22
E02000038,30
E02000039,35
E02000040,43
E02000041,32
E02000042,28
E02000043,28
E02000044,20
E02000045,23
E02000046,25
E02000047,28
E02000048,18
E02000049,15
E02000050,27
E02000051,30
E02000052,17
E02000054,18
E02000055,29
E02000056,82
E02000057,17
E02000058,45
E02000059,19
E02000060,21
E02000061,40
E02000062,48
E02000063,18
E02000064,19
E02000065,13
E02000066,31
E02000067,29
E02000068,41
E02000069,26
E02000070,27
E02000071,15
E02000072,36
E02000073,31
E02000074,14
E02000075,23
E02000077,15
E02000078,21
E02000079,31
E02000080,32
E02000081,31
E02000082,24
E02000083,38
E02000084,38
E02000085,24
E02000086,12
E02000087,33
E02000088,25
E02000089,12
E02000090,45
E02000091,29
E02000092,30
E02000093,18
E02000094,20
E02000095,28
E02000096,12
E02000097,11
E02000098,19
E02000099,21
E02000100,32
E02000101,22
E02000102,9
E02000103,29
E02000104,27
E02000105,25
E02000106,31
E02000107,19
E02000108,9
E02000110,14
E02000111,21
E02000112,31
E02000113,31
E02000114,17
E02000115,19
E02000116,25
E02000117,18
E02000118,18
E02000119,52
E02000120,13
E02000121,22
E02000122,17
E02000123,30
E02000124,30
E02000125,17
E02000126,18
E02000127,20
E02000128,23
E02000130,26
E02000131,41
E02000132,52
E02000133,33
E02000134,37
E02000135,22
E02000136,37
E02000137,40
E02000138,29
E02000139,31
E02000140,29
E02000141,28
E02000142,20
E02000144,43
E02000145,39
E02000146,21
E02000147,41
E02000148,35
E02000149,48
E02000150,32
E02000151,22
E02000152,31
E02000153,23
E02000154,33
E02000155,35
E02000156,31
E02000157,31
E02000158,28
E02000159,43
E02000160,44
E02000161,39
E02000162,64
E02000163,57
E02000165,27
E02000166,28
E02000167,23
E02000168,28
E02000169,8
E02000170,18
E02000171,14
E02000172,9
E02000173,25
E02000174,10
E02000175,34
E02000176,11
E02000177,24
E02000178,11
E02000179,12
E02000180,18
E02000181,8
E02000182,24
E02000183,11
E02000184,25
E02000185,20
E02000186,42
E02000187,44
E02000188,25
E02000191,29
E02000192,16
E02000193,66
E02000194,32
E02000195,20
E02000196,16
E02000197,13
E02000198,20
E02000199,5
E02000200,29
E02000201,15
E02000202,9
E02000203,24
E02000204,18
E02000206,20
E02000207,29
E02000208,11
E02000209,26
E02000210,10
E02000211,20
E02000212,25
E02000213,43
E02000214,19
E02000215,30
E02000216,22
E02000217,34
E02000218,21
E02000219,47
E02000221,43
E02000222,20
E02000223,20
E02000224,21
E02000225,36
E02000226,32
E02000227,57
E02000228,33
E02000229,30
E02000230,43
E02000231,41
E02000232,21
E02000233,21
E02000234,63
E02000235,30
E02000236,43
E02000237,58
E02000238,23
E02000239,16
E02000240,28
E02000241,32
E02000242,10
E02000243,26
E02000244,24
E02000245,10
E02000246,17
E02000247,25
E02000248,43
E02000249,24
E02000250,11
E02000251,9
E02000252,81
E02000253,31
E02000254,16
E02000255,27
E02000256,27
E02000258,22
E02000259,17
E02000260,26
E02000261,29
E02000262,12
E02000263,6
E02000264,25
E02000265,18
E02000266,43
E02000267,11
E02000268,9
E02000269,17
E02000270,30
E02000271,10
E02000272,8
E02000275,17
E02000276,9
E02000277,13
E02000278,20
E02000279,20
E02000280,40
E02000281,18
E02000282,21
E02000283,15
E02000284,39
E02000285,23
E02000286,23
E02000287,51
E02000288,34
E02000289,27
E02000290,25
E02000291,45
E02000292,30
E02000293,29
E02000294,14
E02000295,22
E02000296,44
E02000297,29
E02000298,25
E02000299,12
E02000300,9
E02000301,21
E02000302,14
E02000303,16
E02000304,16
E02000305,23
E02000306,25
E02000307,14
E02000308,31
E02000309,20
E02000311,27
E02000312,24
E02000313,7
E02000314,49
E02000315,27
E02000317,17
E02000318,17
E02000319,31
E02000320,24
E02000321,9
E02000323,18
E02000324,12
E02000326,17
E02000327,31
E02000328,20
E02000329,17
E02000331,21
E02000332,22
E02000333,21
E02000334,18
E02000335,15
E02000337,25
E02000339,25
E02000340,42
E02000341,31
E02000342,13
E02000343,12
E02000344,21
E02000345,16
E02000346,30
E02000347,6
E02000348,8
E02000350,11
E02000351,11
E02000352,13
E02000353,15
E02000354,21
E02000355,19
E02000356,9
E02000357,13
E02000358,13
E02000359,9
E02000360,24
E02000361,30
E02000362,37
E02000363,21
E02000364,16
E02000366,17
E02000367,24
E02000368,15
E02000369,12
E02000370,16
E02000372,51
E02000373,7
E02000374,10
E02000375,32
E02000376,16
E02000377,13
E02000378,5
E02000379,10
E02000380,8
E02000381,4
