msoa_code,msoa_name,borough_code,borough_name,area_km2,population,transport_nodes,income_bhc,core_bakery_count,core_and_cafe_count,bakery_count,income_expected_core_bakery_count,income_expected_core_and_cafe_count,income_expected_bakery_count,core_raw_shortfall,core_standardised_shortfall,core_underprovision_percentile,core_underprovision_rank,core_top_decile,core_cafe_raw_shortfall,core_cafe_standardised_shortfall,core_cafe_underprovision_percentile,core_cafe_underprovision_rank,core_cafe_top_decile,all_raw_shortfall,all_standardised_shortfall,all_underprovision_percentile,all_underprovision_rank,all_top_decile,expected_core_bakery_count,expected_core_and_cafe_count,expected_bakery_count,core_base_model_score,core_base_model_percentile,core_population_baseline_expected,core_population_baseline_shortfall,core_population_baseline_percentile,core_density_baseline_expected,core_density_baseline_shortfall,core_density_baseline_percentile,core_cafe_base_model_score,core_cafe_base_model_percentile,core_cafe_population_baseline_expected,core_cafe_population_baseline_shortfall,core_cafe_population_baseline_percentile,core_cafe_density_baseline_expected,core_cafe_density_baseline_shortfall,core_cafe_density_baseline_percentile,all_base_model_score,all_base_model_percentile,all_population_baseline_expected,all_population_baseline_shortfall,all_population_baseline_percentile,all_density_baseline_expected,all_density_baseline_shortfall,all_density_baseline_percentile,core_cafe_base_model_rank,core_cafe_population_baseline_rank,core_cafe_density_baseline_rank
E02000001,City of London 001,E09000001,City of London,3.1504203391814567,15111,235,67770,13,114,129,9.28338777687344,49.2447901674878,65.95594635297972,-3.71661222312656,-0.3672810986736379,25.449101796407188,748,False,-64.75520983251221,-1.2492845053469377,10.67864271457086,896,False,-63.04405364702028,-1.1618417024211398,10.778443113772456,895,False,6.056314790118449,20.79390525430566,35.90858072063649,-1.011495387741965,13.073852295409182,1.537742680315468,-11.462257319684532,0.29940119760479045,1.8273683297889136,-11.172631670211086,0.499001996007984,-3.929842197044515,1.4970059880239521,4.867578992393178,-109.13242100760682,0.09980039920159679,5.784361588780475,-108.21563841121953,0.09980039920159679,-2.9826719809739095,2.694610778443114,8.608034160728101,-120.3919658392719,0.09980039920159679,10.229311580158914,-118.7706884198411,0.09980039920159679,988,1002,1002
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,2.161560664389551,8820,20,37611,0,0,0,0.6718242302058117,1.5270795421325305,3.343557011526197,0.6718242302058117,0.6239101959274717,65.06986027944112,351,False,1.5270795421325305,0.7575643990850026,78.64271457085829,215,False,3.343557011526197,1.020216075346636,93.5129740518962,66,True,0.8314107387056774,2.519583137907117,4.6312873469746085,0.6561847174543014,73.95209580838323,0.8975508199578074,0.8975508199578074,75.84830339321357,1.2537906297447377,1.2537906297447377,88.82235528942117,0.7785539093436414,86.32734530938124,2.841112217120497,2.841112217120497,85.72854291417165,3.9687556366406396,3.9687556366406396,89.62075848303394,1.0294873994303606,95.90818363273453,5.024343941342191,5.024343941342191,94.311377245509,7.018516627911623,7.018516627911623,90.8183632734531,138,144,105
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,2.141515250042252,12655,21,40831,1,1,7,0.7779726222472494,2.073517707412744,5.014400600031334,-0.2220273777527506,-0.1855443808022244,32.035928143712574,682,False,1.0735177074127442,0.4132075723231289,54.79041916167665,454,False,-1.9855993999686656,-0.4267216161583535,23.253493013972054,770,False,0.819263412185613,2.4329277929125634,5.443023229790329,-0.14420740704166443,33.03393213572854,1.287812429315879,0.287812429315879,42.71457085828344,1.2421634970474962,0.24216349704749618,41.51696606786427,0.45659487641175406,57.08582834331337,4.07644842490475,3.0764484249047497,90.21956087824351,3.9319510479514257,2.9319510479514257,81.93612774451098,-0.29964239811474785,26.84630738522954,7.208965144862294,0.20896514486229378,33.433133732534934,6.953429824553444,-0.04657017544655595,44.81037924151697,431,99,182
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,2.4929460965825583,7056,13,40965,0,1,4,0.5054012097821199,1.189378086921485,2.4535607808030924,0.5054012097821199,0.5717467320575548,54.29141716566866,459,False,0.1893780869214849,0.1146603173449541,41.21756487025948,590,False,-1.5464392191969076,-0.6095318762393978,19.66067864271457,806,False,0.6021052990222329,1.7946570284895662,3.209908343699865,0.5997038829890575,58.48303393213573,0.7180406559662459,0.7180406559662459,52.09580838323353,1.4460072797617478,1.4460072797617478,91.11776447105788,0.3291157899181179,48.10379241516966,2.2728897736963978,1.2728897736963978,43.712574850299404,4.577199259613403,3.577199259613403,87.42514970059881,-0.24146058272984516,28.642714570858285,4.019475153073753,0.019475153073752693,32.43512974051897,8.094514264439276,4.094514264439276,79.54091816367266,521,565,127
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,1.1879541635824629,11630,11,38481,0,1,4,0.4489670313634073,1.1036298264077755,2.8734914996813696,0.4489670313634073,0.5498323353504242,51.29740518962076,489,False,0.1036298264077755,0.0665013587278288,37.92415169660679,623,False,-1.1265085003186304,-0.3901494742341749,24.75049900199601,755,False,0.4942532747216867,1.4177855949456584,3.317838050551992,0.5640689316937826,53.093812375249506,1.183505219513526,1.183505219513526,95.10978043912176,0.689060373554945,0.689060373554945,68.9620758483034,0.21057860337221576,41.61676646706587,3.7462738191736262,2.7462738191736262,82.83433133732535,2.1811554311014905,1.1811554311014905,55.78842315369261,-0.2026851034357831,30.239520958083833,6.6250702990713926,2.6250702990713926,59.980039920159676,3.857248231640546,-0.1427517683594539,43.91217564870259,586,173,444
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,1.7360028993623478,10717,21,37572,0,0,4,0.7132260396406656,1.6899781964314782,3.961256994307742,0.7132260396406656,0.6346748644107093,67.86427145708582,323,False,1.6899781964314782,0.7716703817744194,81.437125748503,187,False,-0.0387430056922579,-0.0102295777210237,37.3253493013972,629,False,0.8421934730438944,2.530796605600348,5.107006966051858,0.6583710492111308,74.750499001996,1.090595480440796,1.090595480440796,92.11576846307385,1.0069503041428172,1.0069503041428172,83.23353293413174,0.7789691859251175,86.52694610778443,3.452176828898001,3.452176828898001,95.80838323353294,3.18740593570829,3.18740593570829,84.63073852295409,0.22557133212849242,46.706586826347305,6.104976646186424,2.104976646186424,53.59281437125748,5.636744513352981,1.6367445133529808,58.982035928143716,136,43,155
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,1.4199893743899326,13936,22,38025,0,1,1,0.7754413806707933,1.9947245684297263,5.236354505401647,0.7754413806707933,0.6495623146473535,72.2554890219561,279,False,0.9947245684297265,0.3956102584520029,53.89221556886228,463,False,4.236354505401647,0.8761479708947916,84.63073852295409,155,False,0.8357180931833639,2.469851472389687,5.872527909382122,0.6570622313662148,74.45109780439122,1.4181710007859414,1.4181710007859414,98.80239520958084,0.8236499679503493,0.8236499679503493,76.04790419161677,0.46221279801790016,57.784431137724546,4.489086151677013,3.4890861516770126,96.20758483033931,2.6071860607120247,1.6071860607120247,63.37325349301397,0.8756208516443891,84.83033932135729,7.938691288723898,6.938691288723898,99.7005988023952,4.610658955726388,3.6106589557263877,75.3493013972056,424,39,368
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.961521314611936,13211,14,39682,0,0,3,0.5613653535780804,1.4714114869067452,3.889549835472356,0.5613653535780804,0.5911225253146335,57.48502994011976,427,False,1.4714114869067452,0.7522354984826763,77.7445109780439,224,False,0.8895498354723559,0.2385973472476373,48.10379241516966,521,False,0.5851958809921222,1.687752047439227,4.141785984940547,0.5945946260689192,56.886227544910184,1.3443927304379357,1.3443927304379357,97.90419161676647,0.557720370480903,0.557720370480903,61.477045908183634,0.7361343548026738,77.24550898203593,4.2555480159159735,4.2555480159159735,99.40119760479041,1.7654110754249555,1.7654110754249555,66.26746506986028,0.28004195094943424,49.00199600798403,7.525692495359602,4.525692495359602,87.82435129740519,3.122028192810936,0.12202819281093591,45.70858283433134,229,7,339
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,1.1214606870735924,9760,9,39768,0,0,1,0.3882621413713347,0.9417429625373852,2.295983931330601,0.3882621413713347,0.5229909521214466,48.50299401197605,517,False,0.9417429625373852,0.6820786715538238,70.95808383233533,292,False,1.2959839313306012,0.5388693659518724,63.87225548902195,363,False,0.4341039383919194,1.2441452983994377,2.7157449704692658,0.5404790857715914,48.80239520958084,0.9932081635814286,0.9932081635814286,85.42914171656687,0.650491528757097,0.650491528757097,67.06586826347305,0.6973018143544226,72.65469061876247,3.14390648969343,3.14390648969343,91.71656686626747,2.0590694012981405,2.0590694012981405,70.05988023952095,0.6035192456154758,68.562874251497,5.559818238945554,4.559818238945554,88.62275449101796,3.641346092869458,2.641346092869458,67.76447105788424,275,84,301
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,1.594080804337089,7318,18,40339,0,0,2,0.6415951266824316,1.5003652704612116,3.0261639550509045,0.6415951266824316,0.615564507092601,62.7744510978044,374,False,1.5003652704612116,0.7550424260075502,78.1437125748503,220,False,1.0261639550509043,0.3404394895970643,52.49500998003992,477,False,0.7795087707303301,2.368015263955792,4.084819613034644,0.645155681496345,70.35928143712576,0.7447025964230425,0.7447025964230425,54.39121756487027,0.9246298789852545,0.9246298789852545,80.43912175648703,0.7726280742044269,85.02994011976048,2.3572856241369387,2.3572856241369387,71.25748502994011,2.92682841693927,2.92682841693927,81.73652694610777,0.5175692202490931,62.5748502994012,4.168724372192988,2.1687243721929876,53.99201596806387,5.175928122579078,3.1759281225790783,72.45508982035929,151,289,184
