borough_name,MSOAs,Mean_shortfall,Shortfall_SD,Minimum_shortfall,Maximum_shortfall,Top_decile_MSOAs,Shortfall_range
Tower Hamlets,34,-0.8143312542599394,2.4685714754012746,-10.313615835908728,0.8215955608009933,1,11.135211396709721
Kensington and Chelsea,21,-1.504225296581048,2.197802224605714,-9.8404029414251,0.7979131911851541,0,10.638316132610255
Westminster,24,-1.4090789974563098,2.360489464635343,-9.16019016640906,0.7800682172157244,0,9.940258383624785
Camden,27,-1.5269082902997624,2.4196818832947735,-7.440776551254519,0.8144178041119349,1,8.255194355366454
Southwark,34,-0.2639374364814797,1.1199124634844968,-4.426826835409735,0.8905678056747659,6,5.317394641084501
Enfield,36,0.11026970234231809,0.9003335172613351,-3.9298670411592385,0.8431088343602924,5,4.772975875519531
Redbridge,33,0.21110521158575896,0.8979205792060511,-3.3698909405778954,0.8263266617888443,2,4.1962176023667395
Hackney,30,-0.40635918106093644,0.928424791038082,-3.208841992687863,0.8272224017670242,1,4.036064394454887
Hammersmith and Fulham,25,-0.5976483132640156,1.2023055957595141,-3.164271556005216,0.8608276845119182,1,4.025099240517134
Ealing,41,0.04318663638164517,0.9845574286031877,-3.129099994227539,0.8560605076045741,3,3.9851605018321132
Haringey,36,-0.19887029234940215,1.038257591149446,-3.0306085436109895,0.8535606985861955,3,3.884169242197185
Islington,23,-0.7903803395966308,1.0052716788634524,-2.987727956914659,0.7856546618589494,0,3.7733826187736086
Newham,40,-0.1446730194501189,0.8712140210742054,-2.5809142388450463,0.757190427588829,0,3.3381046664338756
Lewisham,37,0.2383780608243133,0.7548631908823576,-2.4306906366797096,0.8522358766966339,3,3.2829265133763434
Waltham Forest,28,-0.17055945561574246,1.0211685159106776,-2.2475653242795315,0.8584938224262084,1,3.10605914670574
Havering,30,0.31131227452723004,0.575191568265071,-2.2306040079473046,0.8376268361926007,2,3.0682308441399053
Hounslow,29,0.24979878575397724,0.7536924333628507,-2.1385136655574444,0.8623163413986407,5,3.000830006956085
Barnet,42,0.25802847136246454,0.6341985149331819,-2.0777700617961066,0.8834519908065647,11,2.9612220526026714
Wandsworth,38,0.07348352698941378,0.6426664154392306,-1.8493697735020103,0.8386957416775943,1,2.6880655151796047
Lambeth,35,0.12885534603695245,0.6225286042673172,-1.742106397487961,0.8688884497029243,2,2.6109948471908853
Brent,35,0.17337771323866236,0.5402450689883516,-1.3974667717458789,0.8414203262047409,1,2.2388870979506197
Harrow,30,0.1880485159833331,0.6078884505475309,-1.3267222428438923,0.8253407069781798,1,2.152062949822072
Richmond upon Thames,23,0.315584332064012,0.5653064156941541,-1.1881697648966814,0.8806072651362302,3,2.0687770300329116
Bexley,28,0.4041662002103032,0.43331169289951943,-0.8731196606174103,0.8643854799726554,5,1.7375051405900657
Kingston upon Thames,20,0.44536447187269756,0.5023545860829999,-0.7021352920846885,0.8691557912190074,5,1.571291083303696
Hillingdon,32,0.35365115401819647,0.4639787684801275,-0.6635055810480555,0.854149151872361,4,1.5176547329204164
Greenwich,35,0.46074260373612197,0.4307629273844309,-0.6077358407758866,0.8505590968989645,4,1.458294937674851
Merton,25,0.4883015788651354,0.3762935222126989,-0.4496190543309639,0.8680908312675348,4,1.3177098855984988
Bromley,39,0.473476089865412,0.3581889859985592,-0.33965046958402983,0.8939244347696762,8,1.233574904353706
Croydon,45,0.594580359531577,0.3302204486712711,-0.18564722431114472,0.9025510809403914,14,1.088198305251536
Sutton,24,0.5368969023096294,0.2962137175155601,-0.15110488207100706,0.8420571838238211,3,0.9931620658948281
Barking and Dagenham,22,0.41514554057114417,0.3299119307565043,-0.12169473935352425,0.8223164357550288,1,0.944011175108553
City of London,1,-1.2492845053469375,,-1.2492845053469375,-1.2492845053469375,0,0.0
