msoa_code,msoa_name,borough_name,Income based core and café rank,Population and transport model rank,Population baseline rank,Area-density baseline rank,Core-only rank,All-provision rank
E02000234,Croydon 041,Croydon,1,2,72,61,5,110
E02006789,Bromley 042,Bromley,2,1,340,1,2,71
E02000147,Bromley 021,Bromley,3,9,194,94,13,2
E02000814,Southwark 008,Southwark,4,56,41,272,39,1
E02000227,Croydon 034,Croydon,5,4,15,35,9,50
E02000030,Barnet 007,Barnet,6,6,101,5,10,78
E02000236,Croydon 043,Croydon,7,8,104,48,25,168
E02000798,Richmond upon Thames 015,Richmond upon Thames,8,20,23,85,35,148
E02000231,Croydon 038,Croydon,9,10,182,52,28,3
E02000219,Croydon 026,Croydon,10,7,239,22,17,99
E02000235,Croydon 042,Croydon,11,30,306,26,59,8
E02000838,Southwark 032,Southwark,12,37,108,309,62,106
E02000040,Barnet 017,Barnet,13,11,44,27,34,344
E02000598,Kingston upon Thames 001,Kingston upon Thames,14,59,195,244,76,119
E02000640,Lambeth 023,Lambeth,15,187,140,383,148,9
E02000690,Merton 002,Merton,16,65,453,25,80,15
E02000710,Merton 022,Merton,17,3,105,58,21,196
E02000084,Bexley 020,Bexley,18,17,26,74,45,4
E02000549,Hounslow 024,Hounslow,19,18,4,86,46,146
E02000532,Hounslow 007,Hounslow,20,114,132,80,113,10
