msoa_code,msoa_name,borough_name,Observed count,Expected count,Raw shortfall,Standardised shortfall,Rank
E02000234,Croydon 041,Croydon,0,7.14330700199432,7.14330700199432,0.9025510809403914,1
E02006789,Bromley 042,Bromley,0,6.105046401042682,6.105046401042682,0.8939244347696762,2
E02000147,Bromley 021,Bromley,0,5.784085447893177,5.784085447893177,0.8906956208724252,3
E02000814,Southwark 008,Southwark,0,5.772005100132768,5.772005100132768,0.8905678056747659,4
E02000227,Croydon 034,Croydon,0,5.455747814731946,5.455747814731946,0.8870421042274722,5
E02000030,Barnet 007,Barnet,0,5.164139102601882,5.164139102601882,0.8834519908065647,6
E02000236,Croydon 043,Croydon,0,4.968894736349823,4.968894736349823,0.8808403673784587,7
E02000798,Richmond upon Thames 015,Richmond upon Thames,0,4.952102572301164,4.952102572301164,0.8806072651362302,8
E02000231,Croydon 038,Croydon,0,4.9205539849600495,4.9205539849600495,0.8801655256690636,9
E02000219,Croydon 026,Croydon,0,4.907572893667601,4.907572893667601,0.8799823119918015,10
E02000235,Croydon 042,Croydon,0,4.383862513527128,4.383862513527128,0.8718038459692404,11
E02000838,Southwark 032,Southwark,0,4.28968258657454,4.28968258657454,0.8701493529174654,12
E02000040,Barnet 017,Barnet,0,4.2414307577213055,4.2414307577213055,0.8692770361873312,13
E02000598,Kingston upon Thames 001,Kingston upon Thames,0,4.234798595961837,4.234798595961837,0.8691557912190074,14
E02000640,Lambeth 023,Lambeth,0,4.220238184363314,4.220238184363314,0.8688884497029243,15
E02000690,Merton 002,Merton,0,4.177307790465036,4.177307790465036,0.8680908312675348,16
E02000710,Merton 022,Merton,0,3.9981745316146777,3.9981745316146777,0.864603762094333,17
E02000084,Bexley 020,Bexley,0,3.9874021166834295,3.9874021166834295,0.8643854799726554,18
E02000549,Hounslow 024,Hounslow,0,3.887714063119441,3.887714063119441,0.8623163413986407,19
E02000532,Hounslow 007,Hounslow,0,3.863043093608348,3.863043093608348,0.8617901611352456,20
