Definition,msoa_code,msoa_name,borough_name,Observed count,Expected count,Raw shortfall,Standardised shortfall,Rank
Core only,E02000890,Tower Hamlets 027,Tower Hamlets,0,2.3327984336547627,2.3327984336547627,0.8140213214314153,1
Core only,E02006789,Bromley 042,Bromley,0,2.314722326494272,2.314722326494272,0.8131199903297787,2
Core only,E02007113,Tower Hamlets 035,Tower Hamlets,0,2.277144922087829,2.277144922087829,0.8112104047025503,3
Core only,E02006941,Southwark 035,Southwark,0,2.216213275771866,2.216213275771866,0.808006846098344,4
Core only,E02000234,Croydon 041,Croydon,0,2.206948322468971,2.206948322468971,0.807507671992314,5
Core only,E02000132,Bromley 006,Bromley,0,2.0975429073165985,2.0975429073165985,0.801356452498915,6
Core only,E02000785,Richmond upon Thames 002,Richmond upon Thames,0,2.0447771207519096,2.0447771207519096,0.798209582783024,7
Core only,E02000162,Bromley 036,Bromley,0,2.018285427329681,2.018285427329681,0.7965822652897617,8
Core only,E02000227,Croydon 034,Croydon,0,1.8553171760840927,1.8553171760840927,0.7858056869700749,9
Core only,E02000030,Barnet 007,Barnet,0,1.7257683529512835,1.7257683529512835,0.7761695666832585,10
Core only,E02000314,Greenwich 002,Greenwich,0,1.6925033787417247,1.6925033787417247,0.7735205346966063,11
Core only,E02000839,Southwark 033,Southwark,0,1.6864555566666273,1.6864555566666273,0.7730306798489655,12
Core only,E02000147,Bromley 021,Bromley,0,1.678939724312454,1.678939724312454,0.7724183139638182,13
Core only,E02000230,Croydon 037,Croydon,0,1.6663806264818597,1.6663806264818597,0.7713860149250737,14
Core only,E02000746,Newham 033,Newham,0,1.6635839187595691,1.6635839187595691,0.7711545858234993,15
Core only,E02000031,Barnet 008,Barnet,0,1.6525036665152744,1.6525036665152744,0.7702320632812463,16
Core only,E02000219,Croydon 026,Croydon,0,1.6523367073057793,1.6523367073057793,0.7702180934111901,17
Core only,E02006987,Croydon 046,Croydon,0,1.6437263357537435,1.6437263357537435,0.7694948359482153,18
Core only,E02000621,Lambeth 004,Lambeth,0,1.6422432342635465,1.6422432342635465,0.769369699143628,19
Core only,E02006999,Newham 042,Newham,0,1.6311038647046,1.6311038647046,0.7684245162081866,20
All provision included,E02000814,Southwark 008,Southwark,0,9.481992079778491,9.481992079778491,1.1417265463682729,1
All provision included,E02000147,Bromley 021,Bromley,0,8.782687531300253,8.782687531300253,1.1355285974664382,2
All provision included,E02000231,Croydon 038,Croydon,0,7.911133897775701,7.911133897775701,1.1264553542848457,3
All provision included,E02000084,Bexley 020,Bexley,0,7.906609641287596,7.906609641287596,1.1264036650328921,4
All provision included,E02000781,Redbridge 031,Redbridge,0,7.47231196400787,7.47231196400787,1.1211872831761243,5
All provision included,E02000895,Waltham Forest 001,Waltham Forest,0,6.6871793121715495,6.6871793121715495,1.1102760561120324,6
All provision included,E02000255,Ealing 018,Ealing,0,6.638961139821036,6.638961139821036,1.1095335590243725,7
All provision included,E02000235,Croydon 042,Croydon,0,6.611667173880828,6.611667173880828,1.109109137285681,8
All provision included,E02000640,Lambeth 023,Lambeth,0,6.507810383349764,6.507810383349764,1.1074662186154833,9
All provision included,E02000532,Hounslow 007,Hounslow,0,6.396642984334444,6.396642984334444,1.1056570182235657,10
All provision included,E02000938,Wandsworth 016,Wandsworth,0,6.130403982651826,6.130403982651826,1.1010969793627496,11
All provision included,E02000494,Hillingdon 001,Hillingdon,0,5.81318785985023,5.81318785985023,1.0952031087278136,12
All provision included,E02000466,Havering 003,Havering,0,5.80267998192405,5.80267998192405,1.094998556428703,13
All provision included,E02000835,Southwark 029,Southwark,0,5.724737486090332,5.724737486090332,1.0934615149665425,14
All provision included,E02000690,Merton 002,Merton,0,5.715161042853906,5.715161042853906,1.093270227406315,15
All provision included,E02000659,Lewisham 007,Lewisham,0,5.53241208087754,5.53241208087754,1.0895133983741596,16
All provision included,E02000141,Bromley 015,Bromley,0,5.521568145869534,5.521568145869534,1.0892839206929275,17
All provision included,E02000081,Bexley 017,Bexley,0,5.453345325382398,5.453345325382398,1.0878226760187983,18
All provision included,E02000043,Barnet 020,Barnet,0,5.379256128500277,5.379256128500277,1.086200709697179,19
All provision included,E02000207,Croydon 014,Croydon,0,5.351029296717103,5.351029296717103,1.0855729026536027,20
